,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
0,RV Uthappa,16,16,1,660,83*,44.00,479,137.78,0,5,1,74,18
1,MK Pandey,16,16,3,401,94,30.84,340,117.94,0,2,1,35,10
2,G Gambhir,16,16,1,335,69,22.33,293,114.33,0,3,3,36,4
3,YK Pathan,15,12,3,268,72,29.77,165,162.42,0,1,2,15,20
4,Shakib Al Hasan,13,11,4,227,60,32.42,152,149.34,0,1,1,22,7
5,SA Yadav,16,10,5,164,34,32.80,117,140.17,0,0,0,16,5
6,JH Kallis,8,7,1,151,72,25.16,129,117.05,0,1,1,13,4
7,CA Lynn,2,2,0,58,45,29.00,49,118.36,0,0,0,5,3
8,RN ten Doeschate,10,7,3,52,25*,13.00,33,157.57,0,0,2,3,4
9,PP Chawla,11,5,2,31,17*,10.33,19,163.15,0,0,2,4,1
10,SP Narine,16,5,3,10,6,5.00,14,71.42,0,0,1,0,0
11,M Morkel,12,2,2,4,4*,-,3,133.33,0,0,0,0,0
12,R Vinay Kumar,9,4,2,4,4,2.00,6,66.66,0,0,1,0,0
13,MS Bisla,1,1,0,3,3,3.00,9,33.33,0,0,0,0,0
14,UT Yadav,12,1,0,2,2,2.00,4,50.00,0,0,0,0,0
15,AD Russell,2,2,0,2,1,1.00,8,25.00,0,0,0,0,0
16,Records includes the following current or recent matches:,,,,,,,,,,,,,
17,"Kolkata Knight Riders v Kings XI Punjab at Bengaluru, Pepsi Indian Premier League final, Jun 1, 2014
[Twenty20]",,,,,,,,,,,,,
18,"Kings XI Punjab v Kolkata Knight Riders at Kolkata, Pepsi Indian Premier League 1st qualifying final, May 27-28, 2014
[Twenty20]",,,,,,,,,,,,,
19,"Kolkata Knight Riders v Sunrisers Hyderabad at Kolkata, Pepsi Indian Premier League 54th match, May 24, 2014
[Twenty20]",,,,,,,,,,,,,
