,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
0,SP Narine,16,16,64.0,0,407,21,4/20,19.38,6.35,18.2,2,0
1,PP Chawla,11,11,39.3,0,303,14,3/19,21.64,7.67,16.9,0,0
2,M Morkel,12,12,48.0,1,367,12,2/20,30.58,7.64,24.0,0,0
3,Shakib Al Hasan,13,13,50.0,1,334,11,2/22,30.36,6.68,27.2,0,0
4,UT Yadav,12,12,45.0,0,367,11,3/13,33.36,8.15,24.5,0,0
5,R Vinay Kumar,9,9,32.0,0,281,7,2/26,40.14,8.78,27.4,0,0
6,JH Kallis,8,8,22.0,0,186,4,1/15,46.50,8.45,33.0,0,0
7,PJ Cummins,1,1,4.0,1,29,1,1/29,29.00,7.25,24.0,0,0
8,RN ten Doeschate,10,4,5.0,0,35,1,1/7,35.00,7.00,30.0,0,0
9,AD Russell,2,2,5.0,0,52,1,1/25,52.00,10.40,30.0,0,0
10,SA Yadav,16,1,1.0,0,8,0,-,-,8.00,-,0,0
11,YK Pathan,15,1,1.0,0,10,0,-,-,10.00,-,0,0
12,Records includes the following current or recent matches:,,,,,,,,,,,,
13,"Kolkata Knight Riders v Kings XI Punjab at Bengaluru, Pepsi Indian Premier League final, Jun 1, 2014
[Twenty20]",,,,,,,,,,,,
14,"Kings XI Punjab v Kolkata Knight Riders at Kolkata, Pepsi Indian Premier League 1st qualifying final, May 27-28, 2014
[Twenty20]",,,,,,,,,,,,
15,"Kolkata Knight Riders v Sunrisers Hyderabad at Kolkata, Pepsi Indian Premier League 54th match, May 24, 2014
[Twenty20]",,,,,,,,,,,,
