,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
0,SP Narine,16,16,64.0,1,350,22,4/13,15.90,5.46,17.4,2,0
1,JH Kallis,16,15,53.0,1,394,16,3/13,24.62,7.43,19.8,0,0
2,L Balaji,13,13,50.0,1,387,12,3/19,32.25,7.74,25.0,0,0
3,R Bhatia,15,15,43.5,0,332,11,2/23,30.18,7.57,23.9,0,0
4,SMSM Senanayake,8,8,32.0,1,209,9,2/26,23.22,6.53,21.3,0,0
5,Iqbal Abdulla,5,5,18.5,0,142,7,3/29,20.28,7.53,16.1,0,0
6,B Lee,3,3,12.0,0,86,4,2/40,21.50,7.16,18.0,0,0
7,R McLaren,2,2,7.0,0,94,3,2/60,31.33,13.42,14.0,0,0
8,S Ladda,1,1,2.0,0,18,1,1/18,18.00,9.00,12.0,0,0
9,LR Shukla,4,2,3.0,0,22,1,1/14,22.00,7.33,18.0,0,0
10,YK Pathan,16,5,9.0,0,73,1,1/9,73.00,8.11,54.0,0,0
11,Mohammed Shami,3,3,9.0,0,78,1,1/32,78.00,8.66,54.0,0,0
12,S Narwal,2,1,2.0,0,17,0,-,-,8.50,-,0,0
13,RN ten Doeschate,4,3,3.0,0,24,0,-,-,8.00,-,0,0
14,PJ Sangwan,2,2,4.0,0,51,0,-,-,12.75,-,0,0
15,Records includes the following current or recent matches:,,,,,,,,,,,,
16,"Sunrisers Hyderabad v Kolkata Knight Riders at Hyderabad (Deccan), Indian Premier League 72nd match, May 19, 2013
[Twenty20]",,,,,,,,,,,,
17,"Kolkata Knight Riders v Pune Warriors at Ranchi, Indian Premier League 65th match, May 15, 2013
[Twenty20]",,,,,,,,,,,,
18,"Kolkata Knight Riders v Royal Challengers Bangalore at Ranchi, Indian Premier League 60th match, May 12, 2013
[Twenty20]",,,,,,,,,,,,
