,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
0,G Gambhir,16,16,0,406,60,25.37,343,118.36,0,4,2,51,5
1,YK Pathan,16,16,5,332,72,30.18,240,138.33,0,1,2,30,14
2,JH Kallis,16,16,1,311,41,20.73,322,96.58,0,0,2,35,3
3,EJG Morgan,14,13,2,307,51,27.90,240,127.91,0,1,0,28,13
4,MS Bisla,14,14,1,255,92,19.61,236,108.05,0,2,2,36,6
5,MK Tiwary,10,9,1,146,33,18.25,140,104.28,0,0,1,12,1
6,R Bhatia,15,10,4,99,26*,16.50,80,123.75,0,0,0,8,3
7,RN ten Doeschate,4,4,1,85,42,28.33,63,134.92,0,0,0,9,2
8,DB Das,10,6,1,75,23,15.00,74,101.35,0,0,0,5,5
9,S Narwal,2,1,0,23,23,23.00,15,153.33,0,0,0,4,0
10,B Lee,3,2,1,21,16*,21.00,12,175.00,0,0,0,1,2
11,SP Narine,16,6,3,21,13,7.00,19,110.52,0,0,0,0,2
12,SMSM Senanayake,8,4,3,10,7*,10.00,17,58.82,0,0,0,0,0
13,L Balaji,13,3,2,9,9*,9.00,10,90.00,0,0,1,1,0
14,Iqbal Abdulla,5,2,2,8,6*,-,14,57.14,0,0,0,0,0
15,BB McCullum,1,1,0,6,6,6.00,7,85.71,0,0,0,1,0
16,P Dogra,1,1,0,5,5,5.00,8,62.50,0,0,0,0,0
17,Mohammed Shami,3,1,0,5,5,5.00,10,50.00,0,0,0,0,0
18,PJ Sangwan,2,1,1,4,4*,-,2,200.00,0,0,0,1,0
19,R McLaren,2,2,0,3,2,1.50,6,50.00,0,0,0,0,0
20,LR Shukla,4,2,0,3,2,1.50,12,25.00,0,0,0,0,0
21,Records includes the following current or recent matches:,,,,,,,,,,,,,
22,"Sunrisers Hyderabad v Kolkata Knight Riders at Hyderabad (Deccan), Indian Premier League 72nd match, May 19, 2013
[Twenty20]",,,,,,,,,,,,,
23,"Kolkata Knight Riders v Pune Warriors at Ranchi, Indian Premier League 65th match, May 15, 2013
[Twenty20]",,,,,,,,,,,,,
24,"Kolkata Knight Riders v Royal Challengers Bangalore at Ranchi, Indian Premier League 60th match, May 12, 2013
[Twenty20]",,,,,,,,,,,,,
