,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
0,G Gambhir,15,15,2,501,90*,38.53,411,121.89,0,5,1,54,6
1,RV Uthappa,15,15,0,394,72,26.26,289,136.33,0,3,1,45,8
2,YK Pathan,15,13,8,361,63*,72.20,248,145.56,0,3,0,33,13
3,MK Pandey,12,11,3,248,52,31.00,183,135.51,0,2,1,17,9
4,AD Russell,12,8,1,188,39*,26.85,114,164.91,0,0,0,10,15
5,SA Yadav,15,11,4,182,60,26.00,143,127.27,0,1,0,18,5
6,Shakib Al Hasan,10,7,2,114,66*,22.80,106,107.54,0,1,0,7,5
7,C Munro,4,3,0,30,16,10.00,30,100.00,0,0,0,3,0
8,PP Chawla,12,3,0,27,11,9.00,26,103.84,0,0,0,4,0
9,CA Lynn,2,2,1,25,15,25.00,22,113.63,0,0,0,0,1
10,R Sathish,4,3,0,24,10,8.00,24,100.00,0,0,0,1,1
11,JO Holder,4,4,0,22,13,5.50,19,115.78,0,0,1,2,1
12,UT Yadav,9,2,1,9,7*,9.00,5,180.00,0,0,0,0,1
13,SP Narine,11,4,3,7,4,7.00,13,53.84,0,0,0,0,0
14,M Morkel,10,2,2,1,1*,-,1,100.00,0,0,0,0,0
15,GB Hogg,5,1,1,0,0*,-,0,-,0,0,0,0,0
16,Records includes the following current or recent matches:,,,,,,,,,,,,,
17,"Sunrisers Hyderabad v Kolkata Knight Riders at Delhi, Indian Premier League elimination final, May 25, 2016
[Twenty20]",,,,,,,,,,,,,
18,"Kolkata Knight Riders v Sunrisers Hyderabad at Kolkata, Indian Premier League 55th match, May 22, 2016
[Twenty20]",,,,,,,,,,,,,
19,"Gujarat Lions v Kolkata Knight Riders at Kanpur, Indian Premier League 51st match, May 19, 2016
[Twenty20]",,,,,,,,,,,,,
