,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
0,Iqbal Abdulla,15,15,50.0,0,305,16,3/24,19.06,6.10,18.7,0,0
1,YK Pathan,15,14,39.0,1,238,13,3/20,18.30,6.10,18.0,0,0
2,Shakib Al Hasan,7,7,25.3,0,175,11,3/28,15.90,6.86,13.9,0,0
3,L Balaji,14,14,44.3,0,371,10,3/15,37.10,8.33,26.7,0,0
4,R Bhatia,14,12,32.0,0,210,8,3/22,26.25,6.56,24.0,0,0
5,JH Kallis,15,9,24.0,0,170,7,2/16,24.28,7.08,20.5,0,0
6,JD Unadkat,7,6,18.0,0,150,6,2/25,25.00,8.33,18.0,0,0
7,B Lee,12,12,45.2,1,338,5,1/12,67.60,7.45,54.4,0,0
8,RN ten Doeschate,6,1,1.0,0,7,0,-,-,7.00,-,0,0
9,MK Tiwary,15,2,2.0,0,23,0,-,-,11.50,-,0,0
10,S Ladda,2,2,4.0,0,42,0,-,-,10.50,-,0,0
11,Records includes the following current or recent matches:,,,,,,,,,,,,
12,"Kolkata Knight Riders v Mumbai Indians at Mumbai, Indian Premier League elimination final, May 25, 2011
[Twenty20]",,,,,,,,,,,,
13,"Kolkata Knight Riders v Mumbai Indians at Kolkata, Indian Premier League 70th match, May 22, 2011
[Twenty20]",,,,,,,,,,,,
14,"Pune Warriors v Kolkata Knight Riders at Mumbai, Indian Premier League 65th match, May 19, 2011
[Twenty20]",,,,,,,,,,,,
