,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
0,JH Kallis,15,14,2,424,80*,35.33,378,112.16,0,4,1,46,6
1,G Gambhir,15,15,4,378,75*,34.36,317,119.24,0,2,1,44,3
2,MK Tiwary,15,14,7,359,61*,51.28,325,110.46,0,1,0,26,14
3,YK Pathan,15,11,1,283,47*,28.30,201,140.79,0,0,0,24,13
4,EJG Morgan,12,9,0,137,66,15.22,117,117.09,0,1,1,17,3
5,RN ten Doeschate,6,3,1,107,70*,53.50,73,146.57,0,1,0,9,5
6,MS Bisla,5,5,0,72,27,14.40,89,80.89,0,0,0,8,0
7,Shakib Al Hasan,7,3,1,29,26,14.50,22,131.81,0,0,0,4,0
8,SP Goswami,5,4,0,29,22,7.25,29,100.00,0,0,1,5,0
9,R Bhatia,14,6,3,25,11,8.33,22,113.63,0,0,0,3,0
10,BJ Haddin,1,1,0,18,18,18.00,11,163.63,0,0,0,2,1
11,Iqbal Abdulla,15,2,2,15,12*,-,12,125.00,0,0,0,1,0
12,LR Shukla,1,1,0,14,14,14.00,10,140.00,0,0,0,2,0
13,MV Boucher,4,3,2,6,5,6.00,6,100.00,0,0,0,0,0
14,B Lee,12,4,1,5,2*,1.66,9,55.55,0,0,0,0,0
15,L Balaji,14,2,2,4,3*,-,2,200.00,0,0,0,0,0
16,Records includes the following current or recent matches:,,,,,,,,,,,,,
17,"Kolkata Knight Riders v Mumbai Indians at Mumbai, Indian Premier League elimination final, May 25, 2011
[Twenty20]",,,,,,,,,,,,,
18,"Kolkata Knight Riders v Mumbai Indians at Kolkata, Indian Premier League 70th match, May 22, 2011
[Twenty20]",,,,,,,,,,,,,
19,"Pune Warriors v Kolkata Knight Riders at Mumbai, Indian Premier League 65th match, May 19, 2011
[Twenty20]",,,,,,,,,,,,,
