,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
0,SC Ganguly,14,14,1,493,88,37.92,419,117.66,0,4,1,58,15
1,CH Gayle,9,9,0,292,88,32.44,184,158.69,0,2,1,30,16
2,MK Tiwary,13,11,2,237,75*,26.33,186,127.41,0,2,3,23,5
3,AD Mathews,14,11,4,233,65*,33.28,184,126.63,0,1,1,18,8
4,CA Pujara,10,6,2,122,45*,30.50,115,106.08,0,0,0,14,3
5,OA Shah,5,5,3,115,58*,57.50,95,121.05,0,1,0,7,5
6,BB McCullum,5,5,1,114,57*,28.50,110,103.63,0,1,1,14,2
7,BJ Hodge,4,4,0,99,50,24.75,90,110.00,0,1,1,11,1
8,DJ Hussey,6,6,2,94,31,23.50,86,109.30,0,0,1,5,5
9,WP Saha,13,7,4,67,22,22.33,53,126.41,0,0,0,9,1
10,AB Agarkar,7,4,3,40,17,40.00,29,137.93,0,0,0,4,0
11,LR Shukla,4,2,0,36,19,18.00,26,138.46,0,0,0,3,2
12,M Kartik,10,2,0,22,21,11.00,22,100.00,0,0,0,2,0
13,I Sharma,7,2,1,6,6*,6.00,17,35.29,0,0,1,0,0
14,Mandeep Singh,3,2,0,4,4,2.00,11,36.36,0,0,1,1,0
15,RS Gavaskar,2,1,0,2,2,2.00,8,25.00,0,0,0,0,0
16,SE Bond,8,1,0,1,1,1.00,2,50.00,0,0,0,0,0
17,BAW Mendis,2,1,1,1,1*,-,1,100.00,0,0,0,0,0
18,AB Dinda,7,1,0,0,0,0.00,1,0.00,0,0,1,0,0
19,Iqbal Abdulla,3,1,1,0,0*,-,1,0.00,0,0,0,0,0
20,CK Langeveldt,3,1,0,0,0,0.00,1,0.00,0,0,1,0,0
21,Records includes the following current or recent matches:,,,,,,,,,,,,,
22,"Kolkata Knight Riders v Mumbai Indians at Kolkata, Indian Premier League 56th match, Apr 19, 2010
[Twenty20]",,,,,,,,,,,,,
23,"Kolkata Knight Riders v Rajasthan Royals at Kolkata, Indian Premier League 53rd match, Apr 17, 2010
[Twenty20]",,,,,,,,,,,,,
24,"Chennai Super Kings v Kolkata Knight Riders at Chennai, Indian Premier League 48th match, Apr 13, 2010
[Twenty20]",,,,,,,,,,,,,
