,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
0,SP Narine,15,15,59.1,1,324,24,5/19,13.50,5.47,14.7,1,1
1,JH Kallis,17,16,54.0,0,403,15,2/7,26.86,7.46,21.6,0,0
2,R Bhatia,17,16,53.1,0,389,13,2/14,29.92,7.31,24.5,0,0
3,Shakib Al Hasan,8,8,30.0,0,195,12,3/17,16.25,6.50,15.0,0,0
4,L Balaji,8,8,30.0,1,162,11,4/18,14.72,5.40,16.3,1,0
5,B Lee,10,10,38.0,1,299,7,2/26,42.71,7.86,32.5,0,0
6,Iqbal Abdulla,9,8,22.0,0,144,4,1/20,36.00,6.54,33.0,0,0
7,M de Lange,3,3,10.0,0,107,3,3/34,35.66,10.70,20.0,0,0
8,YK Pathan,17,12,22.0,0,182,3,2/12,60.66,8.27,44.0,0,0
9,LR Shukla,11,2,2.0,0,12,1,1/5,12.00,6.00,12.0,0,0
10,RN ten Doeschate,3,1,3.0,0,24,1,1/24,24.00,8.00,18.0,0,0
11,PJ Sangwan,1,1,4.0,0,42,1,1/42,42.00,10.50,24.0,0,0
12,JD Unadkat,1,1,3.0,0,32,0,-,-,10.66,-,0,0
13,Records includes the following current or recent matches:,,,,,,,,,,,,
14,"Kolkata Knight Riders v Chennai Super Kings at Chennai, Indian Premier League final, May 27, 2012
[Twenty20]",,,,,,,,,,,,
15,"Delhi Daredevils v Kolkata Knight Riders at Pune, Indian Premier League 1st qualifying final, May 22, 2012
[Twenty20]",,,,,,,,,,,,
16,"Pune Warriors v Kolkata Knight Riders at Pune, Indian Premier League 70th match, May 19, 2012
[Twenty20]",,,,,,,,,,,,
