,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
0,RV Uthappa,13,13,1,364,80*,30.33,277,131.40,0,1,0,42,7
1,G Gambhir,13,13,0,327,60,25.15,278,117.62,0,3,1,41,4
2,AD Russell,13,11,2,326,66,36.22,169,192.89,0,3,0,35,19
3,YK Pathan,13,12,5,312,52,44.57,231,135.06,0,1,0,29,12
4,MK Pandey,13,12,1,225,40,20.45,184,122.28,0,0,1,22,7
5,SA Yadav,13,13,4,157,46*,17.44,113,138.93,0,0,1,12,8
6,RN ten Doeschate,6,5,2,61,38*,20.33,45,135.55,0,0,1,4,3
7,PP Chawla,13,8,4,54,22,13.50,47,114.89,0,0,2,5,2
8,Shakib Al Hasan,4,3,0,36,23,12.00,27,133.33,0,0,1,5,0
9,J Botha,4,3,0,31,17,10.33,15,206.66,0,0,0,5,1
10,UT Yadav,12,4,3,29,24*,29.00,14,207.14,0,0,1,5,1
11,GB Hogg,6,2,1,7,5,7.00,6,116.66,0,0,0,0,0
12,Azhar Mahmood,1,1,0,6,6,6.00,7,85.71,0,0,0,1,0
13,M Morkel,7,1,1,4,4*,-,3,133.33,0,0,0,0,0
14,PJ Cummins,3,1,0,0,0,0.00,2,0.00,0,0,1,0,0
15,SP Narine,8,1,1,0,0*,-,1,0.00,0,0,0,0,0
16,Records includes the following current or recent matches:,,,,,,,,,,,,,
17,"Rajasthan Royals v Kolkata Knight Riders at Mumbai (BS), Pepsi Indian Premier League 54th match, May 16, 2015
[Twenty20]",,,,,,,,,,,,,
18,"Mumbai Indians v Kolkata Knight Riders at Mumbai, Pepsi Indian Premier League 51st match, May 14, 2015
[Twenty20]",,,,,,,,,,,,,
19,"Kolkata Knight Riders v Kings XI Punjab at Kolkata, Pepsi Indian Premier League 44th match, May 9, 2015
[Twenty20]",,,,,,,,,,,,,
