,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
0,BJ Hodge,12,12,3,365,73,40.55,310,117.74,0,3,1,34,9
1,BB McCullum,13,13,1,285,84*,23.75,239,119.24,0,2,1,27,12
2,SC Ganguly,13,11,0,189,46,17.18,207,91.30,0,0,2,13,6
3,CH Gayle,7,7,1,171,44*,28.50,143,119.58,0,0,0,15,10
4,MN van Wyk,5,5,2,167,74,55.66,132,126.51,0,1,1,19,1
5,DJ Hussey,4,4,0,98,43,24.50,59,166.10,0,0,0,7,6
6,LR Shukla,9,6,1,83,48*,16.60,85,97.64,0,0,0,5,3
7,WP Saha,8,7,4,72,25*,24.00,41,175.60,0,0,1,3,4
8,AB Agarkar,11,7,5,66,39,33.00,57,115.78,0,0,0,3,3
9,Yashpal Singh,8,4,0,47,20,11.75,66,71.21,0,0,0,5,0
10,MC Henriques,4,3,1,38,30*,19.00,40,95.00,0,0,0,2,1
11,M Kartik,10,2,2,21,11*,-,20,105.00,0,0,0,0,0
12,AD Mathews,1,1,0,16,16,16.00,13,123.07,0,0,0,2,0
13,I Sharma,11,3,1,16,9,8.00,13,123.07,0,0,0,1,1
14,A Chopra,2,1,0,11,11,11.00,19,57.89,0,0,0,2,0
15,AN Ghosh,2,2,0,7,7,3.50,8,87.50,0,0,1,1,0
16,SS Shaikh,2,1,0,6,6,6.00,7,85.71,0,0,0,1,0
17,SB Bangar,1,1,0,2,2,2.00,9,22.22,0,0,0,0,0
18,Mashrafe Mortaza,1,1,1,2,2*,-,2,100.00,0,0,0,0,0
19,AB Dinda,9,2,0,2,2,1.00,3,66.66,0,0,1,0,0
20,BAW Mendis,4,1,0,0,0,0.00,1,0.00,0,0,1,0,0
21,Records includes the following current or recent matches:,,,,,,,,,,,,,
22,"Kolkata Knight Riders v Rajasthan Royals at Durban, Indian Premier League 53rd match, May 20, 2009
[Twenty20]",,,,,,,,,,,,,
23,"Chennai Super Kings v Kolkata Knight Riders at Centurion, Indian Premier League 51st match, May 18, 2009
[Twenty20]",,,,,,,,,,,,,
24,"Deccan Chargers v Kolkata Knight Riders at Johannesburg, Indian Premier League 48th match, May 16, 2009
[Twenty20]",,,,,,,,,,,,,
