,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
0,I Sharma,11,11,43.0,0,297,11,2/15,27.00,6.90,23.4,0,0
1,BJ Hodge,12,9,20.0,0,161,7,3/29,23.00,8.05,17.1,0,0
2,AB Agarkar,11,11,31.0,0,284,6,2/15,47.33,9.16,31.0,0,0
3,AB Dinda,9,8,24.0,0,193,4,1/24,48.25,8.04,36.0,0,0
4,M Kartik,10,10,34.0,0,201,4,2/28,50.25,5.91,51.0,0,0
5,CK Langeveldt,1,1,4.0,0,15,3,3/15,5.00,3.75,8.0,0,0
6,LR Shukla,9,5,14.0,0,100,3,3/25,33.33,7.14,28.0,0,0
7,BAW Mendis,4,4,16.0,0,117,3,2/19,39.00,7.31,32.0,0,0
8,Anureet Singh,3,2,5.0,0,47,2,2/35,23.50,9.40,15.0,0,0
9,SC Ganguly,13,6,12.0,0,97,2,2/24,48.50,8.08,36.0,0,0
10,MC Henriques,4,4,12.1,0,107,2,1/32,53.50,8.79,36.5,0,0
11,SS Sarkar,2,2,4.1,0,34,1,1/15,34.00,8.16,25.0,0,0
12,CH Gayle,7,7,18.5,0,144,1,1/21,144.00,7.64,113.0,0,0
13,AD Mathews,1,1,2.2,0,31,0,-,-,13.28,-,0,0
14,DJ Hussey,4,3,4.0,0,34,0,-,-,8.50,-,0,0
15,Mashrafe Mortaza,1,1,4.0,0,58,0,-,-,14.50,-,0,0
16,Records includes the following current or recent matches:,,,,,,,,,,,,
17,"Kolkata Knight Riders v Rajasthan Royals at Durban, Indian Premier League 53rd match, May 20, 2009
[Twenty20]",,,,,,,,,,,,
18,"Chennai Super Kings v Kolkata Knight Riders at Centurion, Indian Premier League 51st match, May 18, 2009
[Twenty20]",,,,,,,,,,,,
19,"Deccan Chargers v Kolkata Knight Riders at Johannesburg, Indian Premier League 48th match, May 16, 2009
[Twenty20]",,,,,,,,,,,,
