,4,5,Ave,BBI,Ct,Econ,Inns,Mat,Mdns,Overs,Player,Runs,SR,St,Wkts,team,year
13,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,SW Billings,0.0,0.0,0.0,0.0,DD,2017
14,0.0,0.0,0.0,0.0,3.0,0.0,0.0,12.0,0.0,0.0,SS Iyer,0.0,0.0,0.0,0.0,DD,2017
15,0.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,0.0,0.0,KK Nair,0.0,0.0,0.0,0.0,DD,2017
16,0.0,0.0,0.0,0.0,8.0,0.0,0.0,14.0,0.0,0.0,RR Pant,0.0,0.0,3.0,0.0,DD,2017
17,0.0,0.0,0.0,0.0,4.0,0.0,0.0,14.0,0.0,0.0,SV Samson,0.0,0.0,0.0,0.0,DD,2017
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,AP Tare,0.0,0.0,0.0,0.0,DD,2017
0,0,0,15.00,1/7,0.0,3.75,2,2.0,0,4.0,NB Singh,15,24.0,0.0,1,GL,2017
1,0,1,11.75,5/17,0.0,6.71,6,6.0,0,21.0,AJ Tye,141,10.5,0.0,12,GL,2017
2,0,0,72.00,1/16,1.0,7.92,6,7.0,0,18.1,Ankit Soni,144,54.5,0.0,2,GL,2017
3,0,0,57.00,1/35,0.0,8.14,2,2.0,0,7.0,MM Patel,57,42.0,0.0,1,GL,2017
4,0,0,102.00,1/11,4.0,8.50,6,14.0,0,12.0,SK Raina,102,72.0,0.0,1,GL,2017
5,0,0,25.16,2/22,0.0,9.15,6,6.0,0,16.3,P Kumar,151,16.5,0.0,6,GL,2017
6,0,0,69.80,2/28,2.0,9.18,12,12.0,0,38.0,RA Jadeja,349,45.6,0.0,5,GL,2017
7,0,0,57.66,1/24,1.0,9.18,6,6.0,0,18.5,DS Kulkarni,173,37.6,0.0,3,GL,2017
8,0,0,0.0,0.0,0.0,9.42,1,1.0,0,3.3,Tejas Baroka,33,0.0,0.0,0,GL,2017
9,0,0,38.54,3/29,2.0,9.49,12,12.0,0,44.4,Basil Thampi,424,24.3,0.0,11,GL,2017
10,0,0,0.0,0.0,0.0,9.54,3,3.0,0,11.0,S Kaushik,105,0.0,0.0,0,GL,2017
11,0,0,43.00,2/34,3.0,9.79,8,8.0,0,26.2,JP Faulkner,258,26.3,0.0,6,GL,2017
12,0,0,36.20,2/38,0.0,10.05,5,5.0,0,18.0,PJ Sangwan,181,21.6,0.0,5,GL,2017
13,0,0,0.0,0.0,0.0,10.40,2,2.0,0,5.0,SB Jakati,52,0.0,0.0,0,GL,2017
14,0,0,42.00,1/42,1.0,10.50,1,1.0,0,4.0,SS Agarwal,42,24.0,0.0,1,GL,2017
15,0,0,74.00,1/10,3.0,11.38,9,12.0,0,13.0,DR Smith,148,39.0,0.0,2,GL,2017
16,0,0,0.0,0.0,0.0,13.00,1,1.0,0,2.0,IK Pathan,26,0.0,0.0,0,GL,2017
17,0,0,0.0,0.0,0.0,16.00,1,1.0,0,2.0,MS Gony,32,0.0,0.0,0,GL,2017
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,AD Nath,0.0,0.0,0.0,0.0,GL,2017
19,0.0,0.0,0.0,0.0,5.0,0.0,0.0,13.0,0.0,0.0,AJ Finch,0.0,0.0,0.0,0.0,GL,2017
20,0.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,0.0,0.0,Ishan Kishan,0.0,0.0,0.0,0.0,GL,2017
21,0.0,0.0,0.0,0.0,8.0,0.0,0.0,14.0,0.0,0.0,KD Karthik,0.0,0.0,0.0,0.0,GL,2017
22,0.0,0.0,0.0,0.0,8.0,0.0,0.0,11.0,0.0,0.0,BB McCullum,0.0,0.0,0.0,0.0,GL,2017
23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,JJ Roy,0.0,0.0,0.0,0.0,GL,2017
0,0.0,0.0,22.70,3/6,,8.77,13.0,13.0,0.0,44.0,CR Woakes,386.0,15.5,,17.0,KKR,2017
1,1.0,0.0,24.11,4/33,,8.45,14.0,14.0,0.0,48.3,UT Yadav,410.0,17.1,,17.0,KKR,2017
2,0.0,0.0,15.20,3/20,,8.04,8.0,8.0,0.0,28.2,NM Coulter-Nile,228.0,11.3,,15.0,KKR,2017
3,0.0,0.0,28.33,2/25,,8.29,11.0,12.0,0.0,41.0,Kuldeep Yadav,340.0,20.5,,12.0,KKR,2017
4,0.0,0.0,41.20,2/29,,6.98,15.0,16.0,0.0,59.0,SP Narine,412.0,35.4,,10.0,KKR,2017
5,0.0,0.0,29.83,2/34,,8.95,6.0,6.0,0.0,20.0,PP Chawla,179.0,20.0,,6.0,KKR,2017
6,0.0,0.0,43.20,2/30,,9.06,6.0,6.0,0.0,23.5,TA Boult,216.0,28.6,,5.0,KKR,2017
7,0.0,0.0,26.75,3/37,,7.64,5.0,5.0,0.0,14.0,AS Rajpoot,107.0,21.0,,4.0,KKR,2017
8,0.0,0.0,33.75,3/4,,8.43,9.0,12.0,0.0,16.0,C de Grandhomme,135.0,24.0,,4.0,KKR,2017
9,0.0,0.0,41.00,1/2,,10.25,4.0,15.0,0.0,4.0,YK Pathan,41.0,24.0,,1.0,KKR,2017
10,0.0,0.0,0.0,0.0,,10.33,1.0,1.0,0.0,3.0,Shakib Al Hasan,31.0,0.0,,0.0,KKR,2017
11,,,,,,,,,,,Records includes the following current or recent matches:,,,,,KKR,2017
12,,,,,,,,,,,"Mumbai Indians v Kolkata Knight Riders at Bengaluru, Indian Premier League 2nd qualifying final, May 19, 2017
[Twenty20]",,,,,KKR,2017
13,,,,,,,,,,,"Sunrisers Hyderabad v Kolkata Knight Riders at Bengaluru, Indian Premier League elimination final, May 17, 2017
[Twenty20]",,,,,KKR,2017
14,,,,,,,,,,,"Kolkata Knight Riders v Mumbai Indians at Kolkata, Indian Premier League 54th match, May 13, 2017
[Twenty20]",,,,,KKR,2017
0,0,0,16.33,2/18,0.0,5.44,3,3.0,0,9.0,R Tewatia,49,18.0,0.0,3,KP,2017
1,0,0,17.85,2/15,7.0,6.57,8,14.0,0,19.0,GJ Maxwell,125,16.2,0.0,7,KP,2017
2,0,0,24.13,3/11,7.0,7.54,14,14.0,0,48.0,AR Patel,362,19.2,0.0,15,KP,2017
3,0,0,23.28,2/3,0.0,8.15,6,6.0,0,20.0,VR Aaron,163,17.1,0.0,7,KP,2017
4,1,0,23.41,4/20,3.0,8.29,13,13.0,0,48.0,Sandeep Sharma,398,16.9,0.0,17,KP,2017
5,0,0,31.75,2/24,1.0,8.46,4,4.0,0,15.0,KC Cariappa,127,22.5,0.0,4,KP,2017
6,0,0,61.00,1/14,1.0,8.71,4,4.0,0,7.0,Swapnil Singh,61,42.0,0.0,1,KP,2017
7,0,0,31.53,2/24,3.0,8.97,14,14.0,0,45.4,MM Sharma,410,21.0,0.0,13,KP,2017
8,0,0,57.50,1/26,0.0,9.07,6,6.0,0,12.4,T Natarajan,115,38.0,0.0,2,KP,2017
9,0,0,0.0,0.0,0.0,9.94,6,6.0,0,18.0,I Sharma,179,0.0,0.0,0,KP,2017
10,0,0,55.00,1/28,3.0,10.47,5,5.0,0,10.3,MP Stoinis,110,31.5,0.0,2,KP,2017
11,0,0,0.0,0.0,0.0,13.00,1,1.0,0,2.0,Anureet Singh,26,0.0,0.0,0,KP,2017
12,0,0,71.00,1/31,0.0,14.20,2,2.0,0,5.0,MJ Henry,71,30.0,0.0,1,KP,2017
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,HM Amla,0.0,0.0,0.0,0.0,KP,2017
14,0.0,0.0,0.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,MJ Guptill,0.0,0.0,0.0,0.0,KP,2017
15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,Gurkeerat Singh,0.0,0.0,0.0,0.0,KP,2017
16,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,SE Marsh,0.0,0.0,0.0,0.0,KP,2017
17,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,DA Miller,0.0,0.0,0.0,0.0,KP,2017
18,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,EJG Morgan,0.0,0.0,0.0,0.0,KP,2017
19,0.0,0.0,0.0,0.0,10.0,0.0,0.0,14.0,0.0,0.0,WP Saha,0.0,0.0,2.0,0.0,KP,2017
20,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,M Vohra,0.0,0.0,0.0,0.0,KP,2017
0,0,0,33.25,3/22,2.0,6.48,11,11.0,0,41.0,Harbhajan Singh,266,30.7,0.0,8,MI,2017
1,0,0,27.30,3/14,2.0,6.82,13,13.0,0,40.0,KH Pandya,273,24.0,0.0,10,MI,2017
2,1,0,16.46,4/16,3.0,6.97,9,9.0,0,30.4,KV Sharma,214,14.1,0.0,13,MI,2017
3,0,0,20.14,3/26,1.0,7.05,5,5.0,1,20.0,MG Johnson,141,17.1,0.0,7,MI,2017
4,0,0,22.00,3/7,2.0,7.41,16,16.0,2,59.2,JJ Bumrah,440,17.8,0.0,20,MI,2017
5,0,0,35.50,2/22,12.0,8.19,13,17.0,0,26.0,HH Pandya,213,26.0,0.0,6,MI,2017
6,0,0,34.72,2/5,1.0,8.52,12,12.0,0,44.5,SL Malinga,382,24.4,0.0,11,MI,2017
7,0,0,26.68,3/24,1.0,9.38,14,14.0,0,54.0,MJ McClenaghan,507,17.0,0.0,19,MI,2017
8,0,0,32.00,2/39,1.0,9.60,3,3.0,1,10.0,TG Southee,96,20.0,0.0,3,MI,2017
9,0,0,15.50,2/31,0.0,10.33,1,1.0,0,3.0,R Vinay Kumar,31,9.0,0.0,2,MI,2017
10,0,0,0.0,0.0,15.0,16.36,1,17.0,0,1.5,KA Pollard,30,0.0,0.0,0,MI,2017
11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,JC Buttler,0.0,0.0,0.0,0.0,MI,2017
12,0.0,0.0,0.0,0.0,6.0,0.0,0.0,16.0,0.0,0.0,PA Patel,0.0,0.0,2.0,0.0,MI,2017
13,0.0,0.0,0.0,0.0,4.0,0.0,0.0,13.0,0.0,0.0,N Rana,0.0,0.0,0.0,0.0,MI,2017
14,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,AT Rayudu,0.0,0.0,0.0,0.0,MI,2017
15,0.0,0.0,0.0,0.0,10.0,0.0,0.0,17.0,0.0,0.0,RG Sharma,0.0,0.0,0.0,0.0,MI,2017
16,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,LMP Simmons,0.0,0.0,0.0,0.0,MI,2017
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,SS Tiwary,0.0,0.0,0.0,0.0,MI,2017
0,0,0,23.00,1/23,0.0,5.75,1,1.0,0,4.0,Avesh Khan,23,24.0,0.0,1,RCB,2017
1,0,0,12.31,3/10,3.0,6.12,12,12.0,0,32.1,P Negi,197,12.0,0.0,16,RCB,2017
2,1,0,20.88,4/9,2.0,7.52,7,7.0,1,25.0,S Badree,188,16.6,0.0,9,RCB,2017
3,0,0,23.78,3/16,3.0,7.65,13,13.0,0,43.3,YS Chahal,333,18.6,0.0,14,RCB,2017
4,0,0,12.50,1/9,1.0,8.33,4,8.0,0,6.0,STR Binny,50,9.0,0.0,4,RCB,2017
5,0,0,28.80,2/17,0.0,8.55,5,5.0,2,16.5,A Choudhary,144,20.2,0.0,5,RCB,2017
6,0,0,30.60,2/31,1.0,8.57,5,5.0,0,17.5,TS Mills,153,21.4,0.0,5,RCB,2017
7,0,0,35.00,2/29,1.0,8.75,2,2.0,0,8.0,B Stanlake,70,24.0,0.0,2,RCB,2017
8,0,0,55.00,2/29,1.0,9.01,10,10.0,0,30.3,S Aravind,275,36.6,0.0,5,RCB,2017
9,0,0,49.00,1/16,2.0,9.13,8,8.0,0,26.5,SR Watson,245,32.2,0.0,5,RCB,2017
10,0,0,44.66,2/27,4.0,9.57,4,4.0,0,14.0,AF Milne,134,28.0,0.0,3,RCB,2017
11,0,0,40.50,2/30,3.0,10.12,5,7.0,0,8.0,TM Head,81,24.0,0.0,2,RCB,2017
12,0,0,14.33,3/43,0.0,10.75,1,1.0,0,4.0,HV Patel,43,8.0,0.0,3,RCB,2017
13,0,0,27.50,2/36,0.0,11.00,2,2.0,0,5.0,Iqbal Abdulla,55,15.0,0.0,2,RCB,2017
14,0.0,0.0,0.0,0.0,6.0,0.0,0.0,9.0,0.0,0.0,AB de Villiers,0.0,0.0,0.0,0.0,RCB,2017
15,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,CH Gayle,0.0,0.0,0.0,0.0,RCB,2017
16,0.0,0.0,0.0,0.0,7.0,0.0,0.0,13.0,0.0,0.0,KM Jadhav,0.0,0.0,3.0,0.0,RCB,2017
17,0.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,0.0,0.0,V Kohli,0.0,0.0,0.0,0.0,RCB,2017
18,0.0,0.0,0.0,0.0,6.0,0.0,0.0,11.0,0.0,0.0,Mandeep Singh,0.0,0.0,0.0,0.0,RCB,2017
19,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,Sachin Baby,0.0,0.0,0.0,0.0,RCB,2017
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Vishnu Vinod,0.0,0.0,2.0,0.0,RCB,2017
0,0,0,23.12,3/16,5.0,6.16,10,11.0,0,30.0,Washington Sundar,185,22.5,0.0,8,RPS,2017
1,0,1,13.41,5/30,9.0,7.02,12,12.0,3,45.5,JD Unadkat,322,11.4,0.0,24,RPS,2017
2,0,0,31.00,2/7,0.0,7.15,4,4.0,1,13.0,LH Ferguson,93,26.0,0.0,3,RPS,2017
3,0,0,26.33,3/18,5.0,7.18,12,12.0,1,44.0,BA Stokes,316,22.0,0.0,12,RPS,2017
4,0,0,27.09,2/10,6.0,7.45,13,13.0,0,40.0,DT Christian,298,21.8,0.0,11,RPS,2017
5,0,0,20.50,3/18,2.0,7.85,12,12.0,0,47.0,Imran Tahir,369,15.6,0.0,18,RPS,2017
6,0,0,27.50,2/14,2.0,7.85,3,3.0,0,7.0,R Bhatia,55,21.0,0.0,2,RPS,2017
7,0,0,23.28,2/22,0.0,8.21,6,6.0,0,19.5,A Zampa,163,17.0,0.0,7,RPS,2017
8,0,0,28.63,3/19,4.0,8.25,12,12.0,0,38.1,SN Thakur,315,20.8,0.0,11,RPS,2017
9,0,0,29.00,1/26,1.0,8.28,2,3.0,0,7.0,RD Chahar,58,21.0,0.0,2,RPS,2017
10,0,0,74.00,1/35,0.0,10.57,3,3.0,0,7.0,DL Chahar,74,42.0,0.0,1,RPS,2017
11,0,0,119.00,1/26,0.0,11.90,3,3.0,0,10.0,AB Dinda,119,60.0,0.0,1,RPS,2017
12,0,0,0.0,0.0,5.0,12.00,1,14.0,0,1.0,RA Tripathi,12,0.0,0.0,0,RPS,2017
13,0,0,0.0,0.0,0.0,16.00,1,1.0,0,1.0,Ankit Sharma,16,0.0,0.0,0,RPS,2017
14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,MA Agarwal,0.0,0.0,0.0,0.0,RPS,2017
15,0.0,0.0,0.0,0.0,10.0,0.0,0.0,16.0,0.0,0.0,MS Dhoni,0.0,0.0,3.0,0.0,RPS,2017
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,F du Plessis,0.0,0.0,0.0,0.0,RPS,2017
17,0.0,0.0,0.0,0.0,6.0,0.0,0.0,16.0,0.0,0.0,AM Rahane,0.0,0.0,0.0,0.0,RPS,2017
18,0.0,0.0,0.0,0.0,7.0,0.0,0.0,15.0,0.0,0.0,SPD Smith,0.0,0.0,0.0,0.0,RPS,2017
19,0.0,0.0,0.0,0.0,6.0,0.0,0.0,15.0,0.0,0.0,MK Tiwary,0.0,0.0,0.0,0.0,RPS,2017
0,0,0,29.00,1/13,0.0,5.27,3,3.0,0,11.0,Mohammad Nabi,58,33.0,0.0,2,SRH,2017
1,0,0,21.05,3/19,5.0,6.62,14,14.0,0,54.0,Rashid Khan,358,19.0,0.0,17,SRH,2017
2,0,1,14.19,5/19,4.0,7.05,14,14.0,0,52.2,B Kumar,369,12.0,0.0,26,SRH,2017
3,0,0,43.00,1/4,1.0,7.89,7,7.0,0,16.2,Bipul Sharma,129,32.6,0.0,3,SRH,2017
4,1,0,18.75,4/29,3.0,8.41,10,10.0,0,35.4,S Kaul,300,13.3,0.0,16,SRH,2017
5,0,0,9.00,1/9,0.0,9.00,1,1.0,0,1.0,CJ Jordan,9,6.0,0.0,1,SRH,2017
6,1,0,21.20,4/32,1.0,9.21,6,6.0,0,23.0,Mohammed Siraj,212,13.8,0.0,10,SRH,2017
7,0,0,24.62,3/42,1.0,9.30,6,6.0,0,21.1,A Nehra,197,15.8,0.0,8,SRH,2017
8,0,0,123.00,1/41,1.0,9.71,4,4.0,0,12.4,BCJ Cutting,123,76.0,0.0,1,SRH,2017
9,0,0,248.00,1/6,5.0,10.33,12,12.0,0,24.0,MC Henriques,248,144.0,0.0,1,SRH,2017
10,0,0,21.00,1/7,5.0,10.50,3,10.0,0,4.0,DJ Hooda,42,12.0,0.0,2,SRH,2017
11,0,0,22.00,1/6,3.0,11.00,2,12.0,0,2.0,Yuvraj Singh,22,12.0,0.0,1,SRH,2017
12,0,0,0.0,0.0,0.0,12.75,1,1.0,0,2.4,Mustafizur Rahman,34,0.0,0.0,0,SRH,2017
13,0,0,0.0,0.0,0.0,14.50,1,1.0,0,2.0,BB Sran,29,0.0,0.0,0,SRH,2017
14,0.0,0.0,0.0,0.0,7.0,0.0,0.0,14.0,0.0,0.0,S Dhawan,0.0,0.0,0.0,0.0,SRH,2017
15,0.0,0.0,0.0,0.0,6.0,0.0,0.0,14.0,0.0,0.0,NV Ojha,0.0,0.0,0.0,0.0,SRH,2017
16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,V Shankar,0.0,0.0,0.0,0.0,SRH,2017
17,0.0,0.0,0.0,0.0,10.0,0.0,0.0,14.0,0.0,0.0,DA Warner,0.0,0.0,0.0,0.0,SRH,2017
18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,KS Williamson,0.0,0.0,0.0,0.0,SRH,2017
