,4,5,Ave,BBI,Ct,Econ,Inns,Mat,Mdns,Overs,Player,Runs,SR,St,Wkts,team,year
0,0,0,23.69,2/30,8.0,7.00,12,12.0,0,44.0,CH Morris,308,20.3,0.0,13,DD,2016
1,0,0,62.50,1/23,1.0,7.35,5,5.0,0,17.0,J Yadav,125,51.0,0.0,2,DD,2016
2,1,0,26.46,4/11,3.0,7.47,14,14.0,0,46.0,A Mishra,344,21.2,0.0,13,DD,2016
3,0,0,38.00,2/25,0.0,7.60,4,4.0,0,15.0,NM Coulter-Nile,114,30.0,0.0,3,DD,2016
4,0,0,33.70,3/21,0.0,7.71,12,12.0,1,43.4,Z Khan,337,26.2,0.0,10,DD,2016
5,0,0,27.50,1/4,3.0,7.85,5,10.0,0,7.0,JP Duminy,55,21.0,0.0,2,DD,2016
6,0,0,27.00,3/47,3.0,8.15,8,8.0,0,23.1,CR Brathwaite,189,19.8,0.0,7,DD,2016
7,0,0,63.50,2/23,0.0,8.46,4,4.0,0,15.0,S Nadeem,127,45.0,0.0,2,DD,2016
8,0,0,27.60,3/24,0.0,8.62,4,4.0,0,16.0,Imran Tahir,138,19.2,0.0,5,DD,2016
9,0,0,84.00,1/19,2.0,9.33,5,8.0,0,9.0,P Negi,84,54.0,0.0,1,DD,2016
10,0,0,48.80,2/34,1.0,9.69,8,8.0,0,25.1,Mohammed Shami,244,30.2,0.0,5,DD,2016
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,MA Agarwal,0.0,0.0,0.0,0.0,DD,2016
12,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,SW Billings,0.0,0.0,0.0,0.0,DD,2016
13,0.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0,0.0,0.0,Q de Kock,0.0,0.0,2.0,0.0,DD,2016
14,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,SS Iyer,0.0,0.0,0.0,0.0,DD,2016
15,0.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,KK Nair,0.0,0.0,0.0,0.0,DD,2016
16,0.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,0.0,0.0,RR Pant,0.0,0.0,0.0,0.0,DD,2016
17,0.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,SV Samson,0.0,0.0,1.0,0.0,DD,2016
0,1,0,20.22,4/14,2.0,7.42,14,14.0,4,49.0,DS Kulkarni,364,16.3,0.0,18,GL,2016
1,0,0,38.87,2/18,4.0,7.74,14,15.0,0,40.1,RA Jadeja,311,30.1,0.0,8,GL,2016
