,wickets,Total,batting_team,venue,match_winner,wickets_6overs,runs_6overs,toss,year,winner
41,4,144,Delhi Daredevils,Sawai Mansingh Stadium,Delhi Daredevils,1,62.0,0,2012,1.0
42,6,163,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,1,54.0,1,2012,1.0
43,6,119,Pune Warriors,Subrata Roy Sahara Stadium,Mumbai Indians,1,37.0,0,2012,
44,5,150,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,1,48.0,0,2012,
45,8,143,Pune Warriors,Eden Gardens,Kolkata Knight Riders,2,46.0,0,2012,
46,8,134,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,2,33.0,0,2012,
47,8,174,Mumbai Indians,Wankhede Stadium,Mumbai Indians,1,50.0,1,2012,1.0
48,5,185,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,0,46.0,1,2012,1.0
49,4,154,Kolkata Knight Riders,Feroz Shah Kotla,Kolkata Knight Riders,0,61.0,0,2012,1.0
50,3,126,Rajasthan Royals,Subrata Roy Sahara Stadium,Rajasthan Royals,2,49.0,0,2012,1.0
51,8,145,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,2,46.0,1,2012,
52,1,142,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,0,35.0,1,2012,1.0
53,6,127,Chennai Super Kings,Sawai Mansingh Stadium,Chennai Super Kings,2,37.0,1,2012,1.0
54,9,138,Pune Warriors,Subrata Roy Sahara Stadium,Royal Challengers Bangalore,3,50.0,1,2012,
55,4,155,Kolkata Knight Riders,Eden Gardens,Mumbai Indians,2,32.0,0,2012,
56,1,115,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,46.0,1,2012,1.0
57,9,125,Pune Warriors,Sawai Mansingh Stadium,Rajasthan Royals,4,35.0,0,2012,
58,6,194,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,2,45.0,0,2012,1.0
59,5,173,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,3,32.0,1,2012,1.0
60,5,160,Chennai Super Kings,Eden Gardens,Chennai Super Kings,0,51.0,1,2012,1.0
61,5,140,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,4,37.0,0,2012,1.0
62,10,108,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,1,26.0,1,2012,
63,4,123,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,0,43.0,1,2012,1.0
64,9,194,Delhi Daredevils,Feroz Shah Kotla,Royal Challengers Bangalore,2,51.0,1,2012,
65,5,128,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,0,59.0,0,2012,1.0
66,4,145,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,Delhi Daredevils,0,50.0,1,2012,1.0
67,8,102,Pune Warriors,Subrata Roy Sahara Stadium,Kolkata Knight Riders,1,42.0,0,2012,
68,9,123,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,2,41.0,1,2012,
69,0,163,Mumbai Indians,Sawai Mansingh Stadium,Mumbai Indians,0,45.0,0,2012,1.0
70,8,144,Delhi Daredevils,Subrata Roy Sahara Stadium,Kolkata Knight Riders,2,50.0,0,2012,
71,9,149,Mumbai Indians,M Chinnaswamy Stadium,Chennai Super Kings,1,55.0,1,2012,
72,10,136,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,2,47.0,1,2012,
73,5,192,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,1,56.0,0,2012,1.0
0,4,129,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,1,47.0,1,2013,1.0
1,5,154,Mumbai Indians,M Chinnaswamy Stadium,Royal Challengers Bangalore,0,39.0,1,2013,
2,10,104,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,0,28.0,1,2013,
3,6,160,Delhi Daredevils,Feroz Shah Kotla,Rajasthan Royals,1,39.0,0,2013,
4,9,139,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,2,37.0,0,2013,
5,2,100,Kings XI Punjab,Subrata Roy Sahara Stadium,Kings XI Punjab,2,57.0,0,2013,1.0
6,7,130,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",NA,2,38.0,0,2013,
7,10,125,Kolkata Knight Riders,Sawai Mansingh Stadium,Rajasthan Royals,2,40.0,1,2013,
8,9,165,Delhi Daredevils,Wankhede Stadium,Mumbai Indians,2,48.0,0,2013,
9,0,139,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,0,38.0,1,2013,1.0
10,2,158,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,0,43.0,1,2013,1.0
11,3,148,Pune Warriors,Subrata Roy Sahara Stadium,Pune Warriors,1,65.0,0,2013,1.0
12,7,115,Sunrisers Hyderabad,Feroz Shah Kotla,Sunrisers Hyderabad,1,38.0,0,2013,1.0
13,8,142,Pune Warriors,Wankhede Stadium,Mumbai Indians,4,40.0,0,2013,
14,6,166,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,2,31.0,1,2013,1.0
15,7,132,Sunrisers Hyderabad,Eden Gardens,Kolkata Knight Riders,0,40.0,0,2013,
16,4,126,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,1,48.0,1,2013,1.0
17,8,135,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Pune Warriors,2,40.0,0,2013,
18,9,153,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,2,45.0,1,2013,
19,7,152,Royal Challengers Bangalore,M Chinnaswamy Stadium,NA,2,49.0,1,2013,
20,10,108,Pune Warriors,Subrata Roy Sahara Stadium,Sunrisers Hyderabad,2,43.0,1,2013,
21,10,92,Mumbai Indians,Sawai Mansingh Stadium,Rajasthan Royals,2,26.0,0,2013,
22,10,83,Delhi Daredevils,Feroz Shah Kotla,Chennai Super Kings,4,32.0,0,2013,
23,5,127,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,1,34.0,0,2013,1.0
24,6,124,Chennai Super Kings,Eden Gardens,Chennai Super Kings,1,27.0,0,2013,1.0
25,3,123,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,0,52.0,1,2013,1.0
26,1,165,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,0,61.0,0,2013,1.0
27,3,186,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,2,55.0,1,2013,1.0
28,5,186,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,1,59.0,0,2013,1.0
29,9,133,Pune Warriors,M Chinnaswamy Stadium,Royal Challengers Bangalore,4,43.0,1,2013,
30,7,164,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,3,25.0,1,2013,
31,5,162,Mumbai Indians,Eden Gardens,Mumbai Indians,1,48.0,0,2013,1.0
32,5,160,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,58.0,0,2013,1.0
33,4,150,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,2,49.0,0,2013,1.0
34,2,146,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,1,34.0,0,2013,1.0
35,7,136,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians,1,35.0,0,2013,
36,4,186,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,2,64.0,1,2013,
37,4,149,Pune Warriors,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,0,44.0,1,2013,
38,6,173,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,1,46.0,1,2013,1.0
39,10,170,Kings XI Punjab,Wankhede Stadium,Mumbai Indians,2,55.0,0,2013,
40,9,127,Pune Warriors,Subrata Roy Sahara Stadium,Chennai Super Kings,4,47.0,0,2013,
41,3,130,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,1,37.0,0,2013,1.0
42,3,137,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,2,34.0,0,2013,1.0
43,6,171,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,2,37.0,0,2013,
44,9,170,Pune Warriors,Subrata Roy Sahara Stadium,Royal Challengers Bangalore,1,40.0,0,2013,
45,2,133,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,1,48.0,0,2013,1.0
46,4,81,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,2,41.0,0,2013,1.0
47,3,176,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,1,47.0,1,2013,1.0
48,10,79,Chennai Super Kings,Wankhede Stadium,Mumbai Indians,4,32.0,0,2013,
49,5,182,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,0,57.0,0,2013,1.0
50,3,162,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,1,47.0,0,2013,1.0
51,1,155,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,0,50.0,0,2013,1.0
52,10,105,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians,1,38.0,0,2013,
53,8,146,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings,2,50.0,1,2013,
54,2,147,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,1,44.0,1,2013,1.0
55,10,106,Pune Warriors,Subrata Roy Sahara Stadium,Kolkata Knight Riders,2,35.0,0,2013,
56,7,179,Delhi Daredevils,Feroz Shah Kotla,Royal Challengers Bangalore,2,49.0,1,2013,
57,5,116,Mumbai Indians,Subrata Roy Sahara Stadium,Mumbai Indians,2,37.0,0,2013,1.0
58,9,120,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad,1,41.0,1,2013,
59,5,116,Kolkata Knight Riders,JSCA International Stadium Complex,Kolkata Knight Riders,2,33.0,1,2013,1.0
60,5,144,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,3,24.0,1,2013,1.0
61,5,121,Kings XI Punjab,Feroz Shah Kotla,Kings XI Punjab,3,56.0,1,2013,1.0
62,4,184,Mumbai Indians,Wankhede Stadium,Mumbai Indians,1,43.0,0,2013,1.0
63,7,163,Kolkata Knight Riders,JSCA International Stadium Complex,Pune Warriors,3,37.0,1,2013,
64,9,135,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,2,49.0,0,2013,
65,7,152,Rajasthan Royals,Wankhede Stadium,Mumbai Indians,4,29.0,1,2013,
66,4,194,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,2,41.0,1,2013,1.0
67,9,113,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,0,33.0,0,2013,
68,9,133,Mumbai Indians,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,2,51.0,1,2013,
69,9,134,Delhi Daredevils,Subrata Roy Sahara Stadium,Pune Warriors,2,48.0,0,2013,
70,6,82,Chennai Super Kings,M Chinnaswamy Stadium,Royal Challengers Bangalore,3,56.0,1,2013,
71,5,132,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,0,46.0,0,2013,1.0
72,10,144,Mumbai Indians,Feroz Shah Kotla,Chennai Super Kings,1,57.0,0,2013,
73,6,135,Rajasthan Royals,Feroz Shah Kotla,Rajasthan Royals,1,45.0,0,2013,1.0
74,6,169,Mumbai Indians,Eden Gardens,Mumbai Indians,0,45.0,0,2013,1.0
75,9,125,Chennai Super Kings,Eden Gardens,Mumbai Indians,4,35.0,0,2013,
0,7,122,Mumbai Indians,Sheikh Zayed Stadium,Kolkata Knight Riders,1,33.0,0,2014,
1,2,146,Royal Challengers Bangalore,Sharjah Cricket Stadium,Royal Challengers Bangalore,1,50.0,1,2014,1.0
2,4,206,Kings XI Punjab,Sheikh Zayed Stadium,Kings XI Punjab,3,66.0,0,2014,1.0
3,6,135,Rajasthan Royals,Sheikh Zayed Stadium,Rajasthan Royals,2,31.0,1,2014,1.0
4,3,116,Royal Challengers Bangalore,Dubai International Cricket Stadium,Royal Challengers Bangalore,3,32.0,1,2014,1.0
5,6,167,Delhi Daredevils,Dubai International Cricket Stadium,Delhi Daredevils,2,53.0,0,2014,1.0
6,3,193,Kings XI Punjab,Sharjah Cricket Stadium,Kings XI Punjab,2,45.0,1,2014,1.0
7,9,84,Delhi Daredevils,Sheikh Zayed Stadium,Chennai Super Kings,3,24.0,0,2014,
8,10,121,Sunrisers Hyderabad,Sharjah Cricket Stadium,Kings XI Punjab,3,46.0,1,2014,
9,10,133,Rajasthan Royals,Dubai International Cricket Stadium,Chennai Super Kings,2,38.0,1,2014,
10,5,148,Royal Challengers Bangalore,Sharjah Cricket Stadium,Kolkata Knight Riders,0,53.0,1,2014,
11,4,180,Delhi Daredevils,Dubai International Cricket Stadium,Sunrisers Hyderabad,0,48.0,0,2014,
12,3,142,Chennai Super Kings,Dubai International Cricket Stadium,Chennai Super Kings,0,57.0,0,2014,1.0
13,4,71,Rajasthan Royals,Sheikh Zayed Stadium,Rajasthan Royals,2,36.0,1,2014,1.0
14,10,109,Kolkata Knight Riders,Sheikh Zayed Stadium,Kings XI Punjab,3,25.0,1,2014,
15,4,126,Delhi Daredevils,Sharjah Cricket Stadium,Delhi Daredevils,0,31.0,0,2014,1.0
16,5,146,Chennai Super Kings,Sharjah Cricket Stadium,Chennai Super Kings,0,48.0,0,2014,1.0
17,5,127,Kings XI Punjab,Dubai International Cricket Stadium,Kings XI Punjab,2,35.0,1,2014,1.0
18,8,152,Kolkata Knight Riders,Sheikh Zayed Stadium,NA,1,33.0,0,2014,
19,7,157,Mumbai Indians,Dubai International Cricket Stadium,Sunrisers Hyderabad,3,33.0,1,2014,
20,9,114,Kolkata Knight Riders,JSCA International Stadium Complex,Chennai Super Kings,4,39.0,0,2014,
21,5,170,Mumbai Indians,Wankhede Stadium,Mumbai Indians,2,53.0,0,2014,1.0
22,3,156,Rajasthan Royals,Feroz Shah Kotla,Rajasthan Royals,1,40.0,1,2014,1.0
23,6,158,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,2,36.0,1,2014,1.0
24,6,160,Kolkata Knight Riders,"Sardar Patel Stadium, Motera",Rajasthan Royals,0,51.0,1,2014,
25,2,181,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,0,49.0,1,2014,1.0
26,8,168,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians,1,64.0,1,2014,
27,2,161,Kolkata Knight Riders,Feroz Shah Kotla,Kolkata Knight Riders,0,53.0,0,2014,1.0
28,6,187,Chennai Super Kings,Barabati Stadium,Kings XI Punjab,1,47.0,1,2014,
29,10,102,Rajasthan Royals,"Sardar Patel Stadium, Motera",Sunrisers Hyderabad,3,41.0,1,2014,
30,9,166,Royal Challengers Bangalore,M Chinnaswamy Stadium,Kings XI Punjab,3,35.0,1,2014,
31,2,44,Sunrisers Hyderabad,Feroz Shah Kotla,Sunrisers Hyderabad,2,,1,2014,1.0
32,6,160,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,1,38.0,1,2014,1.0
33,1,150,Kolkata Knight Riders,Barabati Stadium,Kolkata Knight Riders,0,57.0,1,2014,1.0
34,5,191,Rajasthan Royals,M Chinnaswamy Stadium,Rajasthan Royals,0,46.0,0,2014,1.0
35,3,160,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,1,39.0,0,2014,1.0
36,5,149,Chennai Super Kings,JSCA International Stadium Complex,Chennai Super Kings,2,48.0,0,2014,1.0
37,7,170,Delhi Daredevils,M Chinnaswamy Stadium,Royal Challengers Bangalore,2,46.0,1,2014,
38,4,211,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,1,87.0,1,2014,1.0
39,4,142,Kolkata Knight Riders,Barabati Stadium,Kolkata Knight Riders,0,46.0,1,2014,1.0
40,9,139,Delhi Daredevils,"Sardar Patel Stadium, Motera",Rajasthan Royals,2,35.0,1,2014,
41,5,142,Royal Challengers Bangalore,JSCA International Stadium Complex,Royal Challengers Bangalore,1,18.0,0,2014,1.0
42,3,146,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,1,30.0,0,2014,1.0
43,8,153,Rajasthan Royals,"Sardar Patel Stadium, Motera",Mumbai Indians,3,47.0,0,2014,
44,6,165,Kings XI Punjab,Feroz Shah Kotla,Kings XI Punjab,0,67.0,1,2014,1.0
45,3,161,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,0,53.0,0,2014,1.0
46,2,156,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,0,56.0,1,2014,1.0
47,3,159,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,0,63.0,1,2014,1.0
48,5,165,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders,1,37.0,1,2014,
49,4,189,Sunrisers Hyderabad,JSCA International Stadium Complex,Sunrisers Hyderabad,0,65.0,1,2014,1.0
50,4,158,Delhi Daredevils,Wankhede Stadium,Mumbai Indians,1,49.0,1,2014,
51,8,163,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,1,45.0,1,2014,
52,2,160,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,1,65.0,1,2014,1.0
53,6,161,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,1,51.0,1,2014,1.0
54,3,119,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,2,48.0,1,2014,1.0
55,5,195,Mumbai Indians,Wankhede Stadium,Mumbai Indians,3,72.0,1,2014,1.0
56,8,135,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,2,47.0,1,2014,
57,3,176,Chennai Super Kings,Brabourne Stadium,Chennai Super Kings,0,60.0,1,2014,1.0
58,7,202,Chennai Super Kings,Wankhede Stadium,Kings XI Punjab,2,100.0,1,2014,
59,7,200,Kolkata Knight Riders,M Chinnaswamy Stadium,Kolkata Knight Riders,1,59.0,1,2014,1.0
0,3,170,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,1,38.0,1,2015,1.0
1,9,149,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,3,44.0,1,2015,
2,8,136,Kings XI Punjab,Maharashtra Cricket Association Stadium,Rajasthan Royals,3,51.0,1,2015,
3,6,164,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,2,52.0,0,2015,
4,7,179,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,1,41.0,1,2015,1.0
5,7,186,Rajasthan Royals,Feroz Shah Kotla,Rajasthan Royals,1,42.0,1,2015,1.0
6,7,159,Mumbai Indians,Wankhede Stadium,Kings XI Punjab,3,18.0,1,2015,
7,2,172,Sunrisers Hyderabad,M Chinnaswamy Stadium,Sunrisers Hyderabad,0,66.0,1,2015,1.0
8,3,165,Rajasthan Royals,"Sardar Patel Stadium, Motera",Rajasthan Royals,1,43.0,0,2015,1.0
9,3,169,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,1,39.0,1,2015,1.0
10,5,169,Delhi Daredevils,Maharashtra Cricket Association Stadium,Delhi Daredevils,1,47.0,0,2015,1.0
11,4,131,Rajasthan Royals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rajasthan Royals,0,37.0,1,2015,1.0
12,4,189,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,0,90.0,0,2015,1.0
13,8,163,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Daredevils,0,50.0,0,2015,
14,6,159,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Kolkata Knight Riders,2,54.0,1,2015,1.0
15,2,157,Rajasthan Royals,"Sardar Patel Stadium, Motera",Rajasthan Royals,0,47.0,0,2015,1.0
16,7,191,Royal Challengers Bangalore,M Chinnaswamy Stadium,Mumbai Indians,1,34.0,1,2015,
17,4,147,Kolkata Knight Riders,Feroz Shah Kotla,Kolkata Knight Riders,2,49.0,1,2015,1.0
18,6,191,Kings XI Punjab,"Sardar Patel Stadium, Motera",NA,1,42.0,1,2015,
19,4,101,Kolkata Knight Riders,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,2,50.0,1,2015,
20,8,154,Royal Challengers Bangalore,M Chinnaswamy Stadium,Chennai Super Kings,2,38.0,1,2015,
21,9,153,Mumbai Indians,Feroz Shah Kotla,Delhi Daredevils,2,49.0,1,2015,
22,1,134,Royal Challengers Bangalore,"Sardar Patel Stadium, Motera",Royal Challengers Bangalore,1,50.0,1,2015,1.0
23,8,137,Sunrisers Hyderabad,Wankhede Stadium,Mumbai Indians,2,52.0,0,2015,
24,9,95,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,2,39.0,0,2015,
25,0,99,Royal Challengers Bangalore,Feroz Shah Kotla,Royal Challengers Bangalore,0,50.0,1,2015,1.0
26,9,130,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad,2,37.0,1,2015,
27,6,158,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,0,36.0,0,2015,
28,9,132,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,2,55.0,1,2015,
29,1,119,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,0,42.0,1,2015,1.0
30,7,179,Rajasthan Royals,Wankhede Stadium,Mumbai Indians,1,58.0,1,2015,
31,3,115,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,2,63.0,1,2015,1.0
32,6,170,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,2,55.0,1,2015,
33,7,149,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,2,46.0,0,2015,
34,7,175,Delhi Daredevils,Brabourne Stadium,Rajasthan Royals,2,55.0,1,2015,
35,10,124,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,3,43.0,0,2015,
36,9,132,Sunrisers Hyderabad,Eden Gardens,Kolkata Knight Riders,3,34.0,1,2015,
37,5,153,Mumbai Indians,Wankhede Stadium,Mumbai Indians,4,41.0,0,2015,1.0
38,10,88,Kings XI Punjab,M Chinnaswamy Stadium,Royal Challengers Bangalore,5,34.0,1,2015,
