,wickets,Total,batting_team,venue,match_winner,wickets_6overs,runs_6overs,toss,year,winner
0,3,115,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,0,54.0,1,2012,1.0
1,2,100,Delhi Daredevils,Eden Gardens,Delhi Daredevils,0,49.0,1,2012,1.0
2,9,101,Mumbai Indians,Wankhede Stadium,Pune Warriors,3,31.0,1,2012,
3,9,160,Kings XI Punjab,Sawai Mansingh Stadium,Rajasthan Royals,2,47.0,1,2012,
4,7,137,Delhi Daredevils,M Chinnaswamy Stadium,Royal Challengers Bangalore,1,48.0,1,2012,
5,10,119,Deccan Chargers,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings,1,45.0,1,2012,
6,10,142,Kolkata Knight Riders,Sawai Mansingh Stadium,Rajasthan Royals,4,29.0,1,2012,
7,8,144,Kings XI Punjab,Subrata Roy Sahara Stadium,Pune Warriors,2,20.0,0,2012,
8,5,142,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,2,30.0,0,2012,1.0
9,9,123,Royal Challengers Bangalore,M Chinnaswamy Stadium,Kolkata Knight Riders,3,20.0,1,2012,
10,2,111,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,2,51.0,1,2012,1.0
11,10,170,Rajasthan Royals,Wankhede Stadium,Mumbai Indians,2,48.0,1,2012,
12,5,208,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,53.0,0,2012,1.0
13,3,116,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,1,40.0,1,2012,1.0
14,5,137,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,1,36.0,0,2012,1.0
15,5,162,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,3,35.0,0,2012,1.0
16,3,156,Pune Warriors,Subrata Roy Sahara Stadium,Pune Warriors,1,57.0,0,2012,1.0
17,7,132,Kolkata Knight Riders,Eden Gardens,Kings XI Punjab,2,49.0,1,2012,
18,10,136,Royal Challengers Bangalore,M Chinnaswamy Stadium,Rajasthan Royals,2,55.0,0,2012,
19,3,93,Delhi Daredevils,Wankhede Stadium,Delhi Daredevils,1,42.0,1,2012,1.0
20,5,197,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,1,63.0,0,2012,1.0
21,4,186,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,2,42.0,0,2012,1.0
22,2,127,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,1,53.0,0,2012,1.0
23,1,193,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,1,68.0,0,2012,1.0
24,7,151,Pune Warriors,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,2,53.0,1,2012,
25,5,166,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,3,37.0,1,2012,1.0
26,3,147,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,45.0,0,2012,1.0
27,7,172,Delhi Daredevils,Feroz Shah Kotla,Pune Warriors,1,49.0,1,2012,
28,4,164,Kings XI Punjab,Wankhede Stadium,Kings XI Punjab,0,48.0,0,2012,1.0
29,5,127,Kolkata Knight Riders,Barabati Stadium,Kolkata Knight Riders,1,42.0,1,2012,1.0
30,7,143,Rajasthan Royals,Sawai Mansingh Stadium,Royal Challengers Bangalore,0,50.0,1,2012,
31,2,148,Delhi Daredevils,Subrata Roy Sahara Stadium,Delhi Daredevils,1,65.0,0,2012,1.0
32,6,171,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,0,41.0,0,2012,1.0
33,7,159,Pune Warriors,Subrata Roy Sahara Stadium,Deccan Chargers,2,44.0,0,2012,
34,9,170,Mumbai Indians,Feroz Shah Kotla,Delhi Daredevils,3,49.0,1,2012,
35,8,149,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,1,49.0,0,2012,
36,6,143,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders,3,36.0,0,2012,
37,3,151,Rajasthan Royals,Feroz Shah Kotla,Delhi Daredevils,0,40.0,0,2012,
38,5,101,Mumbai Indians,Wankhede Stadium,Mumbai Indians,2,32.0,1,2012,1.0
39,5,140,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,1,38.0,0,2012,1.0
40,5,173,Pune Warriors,Barabati Stadium,Deccan Chargers,1,49.0,0,2012,
