,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
0,G Gambhir,17,17,1,590,93,36.87,411,143.55,0,6,2,64,17
1,JH Kallis,17,17,1,409,79,25.56,384,106.51,0,2,1,34,10
2,BB McCullum,12,12,0,289,56,24.08,283,102.12,0,1,0,37,3
3,MK Tiwary,16,15,5,260,59,26.00,246,105.69,0,1,1,21,3
4,MS Bisla,7,7,0,213,89,30.42,160,133.12,0,1,0,16,10
5,YK Pathan,17,16,6,194,40*,19.40,169,114.79,0,0,2,10,7
6,DB Das,15,10,7,126,35*,42.00,93,135.48,0,0,0,9,6
7,Shakib Al Hasan,8,7,1,91,42,15.16,74,122.97,0,0,0,6,3
8,LR Shukla,11,8,2,75,26,12.50,57,131.57,0,0,1,4,5
9,B Lee,10,3,1,42,25,21.00,20,210.00,0,0,0,2,4
10,R Bhatia,17,6,3,35,12,11.66,28,125.00,0,0,0,4,0
11,RN ten Doeschate,3,3,1,21,11,10.50,21,100.00,0,0,0,1,1
12,SP Narine,15,2,1,9,9*,9.00,7,128.57,0,0,1,2,0
13,Iqbal Abdulla,9,2,2,2,1*,-,3,66.66,0,0,0,0,0
14,Records includes the following current or recent matches:,,,,,,,,,,,,,
15,"Kolkata Knight Riders v Chennai Super Kings at Chennai, Indian Premier League final, May 27, 2012
[Twenty20]",,,,,,,,,,,,,
16,"Delhi Daredevils v Kolkata Knight Riders at Pune, Indian Premier League 1st qualifying final, May 22, 2012
[Twenty20]",,,,,,,,,,,,,
17,"Pune Warriors v Kolkata Knight Riders at Pune, Indian Premier League 70th match, May 19, 2012
[Twenty20]",,,,,,,,,,,,,
