,wickets,Total,batting_team,venue,match_winner,wickets_6overs,runs_6overs,toss,year,winner
19,4,176,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,0,44,0,2015,1
20,8,181,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,1,45,0,2015,1
21,4,190,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,1,46,0,2015,1
22,9,130,Rajasthan Royals,"Sardar Patel Stadium, Motera",Royal Challengers Bangalore,2,49,0,2015,0
23,8,157,Mumbai Indians,Wankhede Stadium,Mumbai Indians,1,47,1,2015,1
24,3,192,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,1,55,1,2015,1
25,10,95,Delhi Daredevils,Feroz Shah Kotla,Royal Challengers Bangalore,2,39,0,2015,0
26,6,150,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad,2,57,0,2015,1
27,7,171,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,1,50,1,2015,1
28,6,134,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,1,54,0,2015,1
29,8,118,Kings XI Punjab,Feroz Shah Kotla,Delhi Daredevils,4,27,0,2015,0
30,5,187,Mumbai Indians,Wankhede Stadium,Mumbai Indians,1,48,0,2015,1
31,4,111,Kolkata Knight Riders,M Chinnaswamy Stadium,Royal Challengers Bangalore,1,62,0,2015,0
32,7,192,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,0,76,0,2015,1
33,3,172,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,0,53,1,2015,1
34,2,189,Rajasthan Royals,Brabourne Stadium,Rajasthan Royals,0,43,0,2015,1
35,9,148,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,2,38,1,2015,1
36,7,167,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,0,57,0,2015,1
37,6,152,Delhi Daredevils,Wankhede Stadium,Mumbai Indians,2,48,1,2015,0
38,3,226,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,0,69,0,2015,1
39,4,201,Sunrisers Hyderabad,Brabourne Stadium,Sunrisers Hyderabad,1,56,0,2015,1
40,5,158,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,1,46,1,2015,0
41,5,183,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,1,46,1,2015,0
42,4,163,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,Sunrisers Hyderabad,2,41,1,2015,1
43,1,235,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,1,41,1,2015,1
