,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
0,AD Russell,12,12,36.3,0,291,15,4/20,19.40,7.97,14.6,1,0
1,PP Chawla,12,11,35.2,0,273,11,2/21,24.81,7.72,19.2,0,0
2,SP Narine,11,11,42.4,0,304,11,3/26,27.63,7.12,23.2,0,0
3,UT Yadav,9,9,26.0,0,234,10,3/28,23.40,9.00,15.6,0,0
4,M Morkel,10,10,35.3,0,297,10,2/27,29.70,8.36,21.3,0,0
5,Kuldeep Yadav,3,3,12.0,0,100,6,3/35,16.66,8.33,12.0,0,0
6,Shakib Al Hasan,10,9,31.0,0,243,5,1/14,48.60,7.83,37.2,0,0
7,GB Hogg,5,5,16.0,1,142,4,3/19,35.50,8.87,24.0,0,0
8,AS Rajpoot,4,4,11.0,0,98,3,1/14,32.66,8.90,22.0,0,0
9,JW Hastings,2,2,6.4,1,37,2,2/6,18.50,5.55,20.0,0,0
10,JO Holder,4,4,13.0,0,103,2,2/33,51.50,7.92,39.0,0,0
11,YK Pathan,15,4,6.0,0,33,1,1/6,33.00,5.50,36.0,0,0
12,R Sathish,4,3,6.0,0,59,1,1/20,59.00,9.83,36.0,0,0
13,C Munro,4,2,2.0,0,15,0,-,-,7.50,-,0,0
14,JD Unadkat,1,1,3.0,0,49,0,-,-,16.33,-,0,0
15,Records includes the following current or recent matches:,,,,,,,,,,,,
16,"Sunrisers Hyderabad v Kolkata Knight Riders at Delhi, Indian Premier League elimination final, May 25, 2016
[Twenty20]",,,,,,,,,,,,
17,"Kolkata Knight Riders v Sunrisers Hyderabad at Kolkata, Indian Premier League 55th match, May 22, 2016
[Twenty20]",,,,,,,,,,,,
18,"Gujarat Lions v Kolkata Knight Riders at Kanpur, Indian Premier League 51st match, May 19, 2016
[Twenty20]",,,,,,,,,,,,
