,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
0,SC Ganguly,13,13,1,349,91,29.08,307,113.68,0,3,0,33,15
1,DJ Hussey,13,13,2,319,71,29.00,259,123.16,0,2,2,19,17
2,Salman Butt,7,7,0,193,73,27.57,161,119.87,0,1,0,30,2
3,BB McCullum,4,4,1,188,158*,62.66,92,204.34,1,0,0,13,15
4,LR Shukla,13,12,4,163,42,20.37,122,133.60,0,0,1,17,4
5,WP Saha,12,10,5,159,59*,31.80,119,133.61,0,1,0,12,7
6,DB Das,6,6,0,103,31,17.16,94,109.57,0,0,1,9,5
7,Mohammad Hafeez,8,8,1,64,16,9.14,83,77.10,0,0,0,7,2
8,AB Agarkar,9,6,1,54,20,10.80,46,117.39,0,0,0,5,2
9,A Chopra,5,5,0,42,24,8.40,52,80.76,0,0,0,5,0
10,RT Ponting,4,4,0,39,20,9.75,53,73.58,0,0,2,2,1
11,Umar Gul,6,4,1,39,24,13.00,19,205.26,0,0,0,1,5
12,T Taibu,3,3,0,31,15,10.33,26,119.23,0,0,0,3,0
13,M Kartik,6,3,0,30,17,10.00,27,111.11,0,0,0,3,0
14,BJ Hodge,3,3,0,12,10,4.00,17,70.58,0,0,0,2,0
15,I Sharma,13,6,5,11,4*,11.00,11,100.00,0,0,0,1,0
16,Shoaib Akhtar,3,1,0,2,2,2.00,7,28.57,0,0,0,0,0
17,AB Dinda,13,3,2,2,1*,2.00,4,50.00,0,0,0,0,0
18,Iqbal Abdulla,1,1,1,1,1*,-,2,50.00,0,0,0,0,0
19,Records includes the following current or recent matches:,,,,,,,,,,,,,
20,"Kolkata Knight Riders v Kings XI Punjab at Kolkata, Indian Premier League 52nd match, May 25, 2008
[Twenty20]",,,,,,,,,,,,,
21,"Delhi Daredevils v Kolkata Knight Riders at Delhi, Indian Premier League 47th match, May 22, 2008
[Twenty20]",,,,,,,,,,,,,
22,"Kolkata Knight Riders v Rajasthan Royals at Kolkata, Indian Premier League 44th match, May 20, 2008
[Twenty20]",,,,,,,,,,,,,
