,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,team,year,status
13,L Balaji,9,2,1,1,1*,1.0,3,33.33,0,0,1,0,0,KP,2014,R
14,BE Hendricks,3,1,0,0,0,0.0,1,0.0,0,0,1,0,0,KP,2014,R
15,Sandeep Sharma,11,1,1,2,2*,0.0,5,40.0,0,0,0,0,0,KP,2014,R
16,Karanveer Singh,5,1,1,1,1*,0.0,1,100.0,0,0,0,0,0,KP,2014,R
17,P Awana,7,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,KP,2014,R
18,M Kartik,2,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,KP,2014,R
0,LMP Simmons,8,8,1,394,100*,56.28,291,135.39,1,3,0,43,14,MI,2014,Q
1,KA Pollard,15,15,7,273,78,34.12,203,134.48,0,1,1,15,15,MI,2014,Q
2,RG Sharma,15,15,2,390,59*,30.0,302,129.13,0,3,0,31,16,MI,2014,Q
3,CJ Anderson,12,11,2,265,95*,29.44,181,146.4,0,1,0,21,15,MI,2014,Q
4,AT Rayudu,15,14,0,361,68,25.78,287,125.78,0,2,0,31,8,MI,2014,Q
5,MEK Hussey,9,9,0,209,56,23.22,182,114.83,0,2,0,17,7,MI,2014,Q
6,CM Gautam,9,9,2,121,33,17.28,111,109.0,0,0,0,13,5,MI,2014,Q
7,AP Tare,15,12,4,126,24,15.75,98,128.57,0,0,1,16,3,MI,2014,Q
8,BR Dunk,3,3,0,40,20,13.33,35,114.28,0,0,0,7,0,MI,2014,Q
9,S Gopal,4,1,0,11,11,11.0,10,110.0,0,0,0,1,0,MI,2014,Q
10,Z Khan,6,4,3,8,7*,8.0,7,114.28,0,0,1,0,1,MI,2014,Q
11,Harbhajan Singh,14,7,2,28,10*,5.6,25,112.0,0,0,2,2,2,MI,2014,Q
12,PP Ojha,12,3,2,4,2,4.0,8,50.0,0,0,0,0,0,MI,2014,Q
13,SL Malinga,10,1,0,2,2,2.0,4,50.0,0,0,0,0,0,MI,2014,Q
14,M de Lange,1,1,0,1,1,1.0,2,50.0,0,0,0,0,0,MI,2014,Q
15,P Kumar,3,1,0,1,1,1.0,2,50.0,0,0,0,0,0,MI,2014,Q
16,JJ Bumrah,11,2,2,1,1*,0.0,3,33.33,0,0,0,0,0,MI,2014,Q
17,K Santokie,2,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,MI,2014,Q
18,P Suyal,1,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,MI,2014,Q
0,AB de Villiers,14,13,2,395,89*,35.9,249,158.63,0,3,1,26,24,RCB,2014,DQ
1,Yuvraj Singh,14,14,3,376,83,34.18,278,135.25,0,3,1,22,28,RCB,2014,DQ
2,V Kohli,14,14,1,359,73,27.61,294,122.1,0,2,3,23,16,RCB,2014,DQ
3,S Rana,9,7,4,73,19*,24.33,65,112.3,0,0,0,7,1,RCB,2014,DQ
4,CH Gayle,9,9,0,196,46,21.77,184,106.52,0,0,0,18,12,RCB,2014,DQ
5,YV Takawale,5,5,0,104,45,20.8,91,114.28,0,0,2,17,1,RCB,2014,DQ
6,PA Patel,12,12,2,205,57*,20.5,185,110.81,0,1,0,30,1,RCB,2014,DQ
7,JA Morkel,7,5,2,45,16,15.0,41,109.75,0,0,0,1,3,RCB,2014,DQ
8,VH Zol,3,2,0,29,16,14.5,26,111.53,0,0,0,3,1,RCB,2014,DQ
9,MA Starc,14,9,3,85,29,14.16,84,101.19,0,0,0,9,0,RCB,2014,DQ
10,RR Rossouw,3,3,0,39,24,13.0,41,95.12,0,0,0,2,2,RCB,2014,DQ
11,R Rampaul,2,1,0,13,13,13.0,13,100.0,0,0,0,0,1,RCB,2014,DQ
12,NJ Maddinson,2,2,0,16,12,8.0,14,114.28,0,0,0,3,0,RCB,2014,DQ
13,HV Patel,3,3,1,13,6,6.5,7,185.71,0,0,0,1,1,RCB,2014,DQ
14,AB Dinda,9,3,2,4,2*,4.0,12,33.33,0,0,1,0,0,RCB,2014,DQ
15,VR Aaron,10,3,3,35,17*,0.0,34,102.94,0,0,0,2,1,RCB,2014,DQ
16,AN Ahmed,4,1,1,4,4*,0.0,1,400.0,0,0,0,1,0,RCB,2014,DQ
17,YS Chahal,14,2,2,1,1*,0.0,1,100.0,0,0,0,0,0,RCB,2014,DQ
18,SB Jakati,1,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,RCB,2014,DQ
19,M Muralitharan,5,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,RCB,2014,DQ
0,JP Faulkner,13,12,8,181,41*,45.25,94,192.55,0,0,0,8,16,RR,2014,DQ
1,SPD Smith,10,7,3,147,48*,36.75,110,133.63,0,0,0,13,4,RR,2014,DQ
2,BJ Hodge,4,4,1,101,40,33.66,72,140.27,0,0,0,4,6,RR,2014,DQ
3,KK Nair,11,11,1,330,73*,33.0,232,142.24,0,3,0,38,9,RR,2014,DQ
4,AM Rahane,13,12,0,339,72,28.25,291,116.49,0,3,1,38,3,RR,2014,DQ
5,SV Samson,13,13,0,339,74,26.07,273,124.17,0,2,0,25,17,RR,2014,DQ
6,SR Watson,13,13,1,240,51,20.0,196,122.44,0,2,1,19,14,RR,2014,DQ
7,Ankit Sharma,3,2,0,34,30,17.0,30,113.33,0,0,0,4,1,RR,2014,DQ
8,R Tewatia,3,1,0,16,16,16.0,13,123.07,0,0,0,0,1,RR,2014,DQ
9,AM Nayar,5,4,1,43,23,14.33,47,91.48,0,0,0,5,1,RR,2014,DQ
10,R Bhatia,12,7,2,67,23,13.4,53,126.41,0,0,0,4,3,RR,2014,DQ
11,KK Cooper,5,5,2,39,32,13.0,26,150.0,0,0,0,2,3,RR,2014,DQ
12,STR Binny,13,12,2,123,48*,12.3,121,101.65,0,0,2,4,5,RR,2014,DQ
13,BCJ Cutting,1,1,0,8,8,8.0,6,133.33,0,0,0,0,1,RR,2014,DQ
14,TG Southee,3,1,0,4,4,4.0,4,100.0,0,0,0,1,0,RR,2014,DQ
15,PV Tambe,13,2,0,5,3,2.5,9,55.55,0,0,0,0,0,RR,2014,DQ
16,UBT Chand,1,1,0,2,2,2.0,9,22.22,0,0,0,0,0,RR,2014,DQ
17,KW Richardson,7,1,0,1,1,1.0,2,50.0,0,0,0,0,0,RR,2014,DQ
18,DS Kulkarni,8,2,2,35,28*,0.0,25,140.0,0,0,0,1,2,RR,2014,DQ
19,DH Yagnik,1,1,1,4,4*,0.0,6,66.66,0,0,0,0,0,RR,2014,DQ
20,VS Malik,1,1,1,1,1*,0.0,2,50.0,0,0,0,0,0,RR,2014,DQ
21,Iqbal Abdulla,1,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,RR,2014,DQ
0,DA Warner,14,14,3,528,90,48.0,375,140.8,0,6,1,39,24,SRH,2014,DQ
1,NV Ojha,11,10,4,232,79*,38.66,161,144.09,0,1,0,14,17,SRH,2014,DQ
2,S Dhawan,14,14,1,377,64*,29.0,319,118.18,0,2,0,49,7,SRH,2014,DQ
3,AJ Finch,13,13,2,309,88*,28.09,263,117.49,0,2,0,31,9,SRH,2014,DQ
4,IK Pathan,10,6,4,55,23*,27.5,54,101.85,0,0,0,5,0,SRH,2014,DQ
5,Y Venugopal Rao,7,5,2,71,27,23.66,63,112.69,0,0,0,8,0,SRH,2014,DQ
6,KL Rahul,11,8,0,166,46,20.75,164,101.21,0,0,0,12,3,SRH,2014,DQ
7,JO Holder,1,1,0,16,16,16.0,12,133.33,0,0,0,2,1,SRH,2014,DQ
8,DJG Sammy,10,9,2,108,29,15.42,91,118.68,0,0,1,4,8,SRH,2014,DQ
9,KV Sharma,14,8,4,42,17*,10.5,29,144.82,0,0,1,1,3,SRH,2014,DQ
10,DW Steyn,14,4,1,22,12,7.33,26,84.61,0,0,0,1,0,SRH,2014,DQ
11,MC Henriques,4,2,0,9,9,4.5,14,64.28,0,0,1,1,0,SRH,2014,DQ
12,A Mishra,10,2,1,4,4*,4.0,7,57.14,0,0,1,0,0,SRH,2014,DQ
13,S Anirudha,1,1,0,3,3,3.0,5,60.0,0,0,0,0,0,SRH,2014,DQ
14,B Kumar,14,2,1,1,1,1.0,4,25.0,0,0,0,0,0,SRH,2014,DQ
15,Parvez Rasool,3,1,1,0,0*,0.0,0,0.0,0,0,0,0,0,SRH,2014,DQ
16,I Sharma,3,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,SRH,2014,DQ
0,BB McCullum,14,14,1,436,100*,33.53,280,155.71,1,2,0,51,23,CSK,2015,R
1,MS Dhoni,17,17,5,372,53,31.0,305,121.96,0,1,1,27,17,CSK,2015,R
2,F du Plessis,17,15,2,380,55,29.23,304,125.0,0,1,0,37,5,CSK,2015,R
3,DR Smith,16,16,0,399,62,24.93,335,119.1,0,2,3,52,16,CSK,2015,R
4,SK Raina,17,17,2,374,62,24.93,305,122.62,0,2,1,31,16,CSK,2015,R
5,DJ Bravo,17,14,5,195,62*,21.66,148,131.75,0,1,1,22,5,CSK,2015,R
6,MEK Hussey,4,4,0,77,56,19.25,70,110.0,0,1,0,5,3,CSK,2015,R
7,RA Jadeja,17,12,5,132,24,18.85,126,104.76,0,0,1,7,3,CSK,2015,R
8,R Ashwin,14,6,3,52,23,17.33,32,162.5,0,0,0,6,1,CSK,2015,R
9,P Negi,10,9,1,116,36,14.5,73,158.9,0,0,0,10,5,CSK,2015,R
10,MM Sharma,16,6,3,28,21*,9.33,18,155.55,0,0,2,1,2,CSK,2015,R
11,A Nehra,16,4,3,1,1*,1.0,7,14.28,0,0,1,0,0,CSK,2015,R
12,RG More,2,1,1,2,2*,0.0,2,100.0,0,0,0,0,0,CSK,2015,R
13,IC Pandey,10,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,CSK,2015,R
0,JA Morkel,4,3,2,86,73*,86.0,65,132.3,0,1,0,9,2,DD,2015,DQ
1,JP Duminy,14,13,3,414,78*,41.4,315,131.42,0,4,0,27,20,DD,2015,DQ
2,Q de Kock,3,3,0,122,69,40.66,77,158.44,0,2,0,18,4,DD,2015,DQ
3,SS Iyer,14,14,1,439,83,33.76,342,128.36,0,4,2,41,21,DD,2015,DQ
4,MK Tiwary,5,3,1,57,32,28.5,56,101.78,0,0,0,8,1,DD,2015,DQ
5,MA Agarwal,10,10,1,213,68,23.66,177,120.33,0,2,1,23,7,DD,2015,DQ
6,KM Jadhav,14,12,4,189,63*,23.62,140,135.0,0,1,1,16,7,DD,2015,DQ
7,AD Mathews,11,10,3,144,28,20.57,104,138.46,0,0,1,12,6,DD,2015,DQ
8,Yuvraj Singh,14,13,0,248,57,19.07,210,118.09,0,2,1,23,10,DD,2015,DQ
9,NM Coulter-Nile,11,5,1,20,6,5.0,18,111.11,0,0,0,2,1,DD,2015,DQ
10,Imran Tahir,10,2,1,5,3*,5.0,6,83.33,0,0,0,0,0,DD,2015,DQ
11,A Mishra,12,4,2,8,4,4.0,12,66.66,0,0,0,0,0,DD,2015,DQ
12,CM Gautam,1,1,0,4,4,4.0,5,80.0,0,0,0,0,0,DD,2015,DQ
13,S Nadeem,4,1,0,2,2,2.0,7,28.57,0,0,0,0,0,DD,2015,DQ
14,DJ Muthuswami,6,2,1,1,1,1.0,3,33.33,0,0,0,0,0,DD,2015,DQ
15,SS Tiwary,7,6,6,109,28*,0.0,78,139.74,0,0,0,9,5,DD,2015,DQ
16,Z Khan,7,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,DD,2015,DQ
17,GS Sandhu,3,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,DD,2015,DQ
18,JD Unadkat,1,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,DD,2015,DQ
19,J Yadav,3,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,DD,2015,DQ
0,YK Pathan,13,12,5,312,52,44.57,231,135.06,0,1,0,29,12,KKR,2015,DQ
1,AD Russell,13,11,2,326,66,36.22,169,192.89,0,3,0,35,19,KKR,2015,DQ
2,RV Uthappa,13,13,1,364,80*,30.33,277,131.4,0,1,0,42,7,KKR,2015,DQ
3,UT Yadav,12,4,3,29,24*,29.0,14,207.14,0,0,1,5,1,KKR,2015,DQ
4,G Gambhir,13,13,0,327,60,25.15,278,117.62,0,3,1,41,4,KKR,2015,DQ
5,MK Pandey,13,12,1,225,40,20.45,184,122.28,0,0,1,22,7,KKR,2015,DQ
6,RN ten Doeschate,6,5,2,61,38*,20.33,45,135.55,0,0,1,4,3,KKR,2015,DQ
7,SA Yadav,13,13,4,157,46*,17.44,113,138.93,0,0,1,12,8,KKR,2015,DQ
8,PP Chawla,13,8,4,54,22,13.5,47,114.89,0,0,2,5,2,KKR,2015,DQ
9,Shakib Al Hasan,4,3,0,36,23,12.0,27,133.33,0,0,1,5,0,KKR,2015,DQ
10,J Botha,4,3,0,31,17,10.33,15,206.66,0,0,0,5,1,KKR,2015,DQ
11,GB Hogg,6,2,1,7,5,7.0,6,116.66,0,0,0,0,0,KKR,2015,DQ
12,Azhar Mahmood,1,1,0,6,6,6.0,7,85.71,0,0,0,1,0,KKR,2015,DQ
13,PJ Cummins,3,1,0,0,0,0.0,2,0.0,0,0,1,0,0,KKR,2015,DQ
14,M Morkel,7,1,1,4,4*,0.0,3,133.33,0,0,0,0,0,KKR,2015,DQ
15,SP Narine,8,1,1,0,0*,0.0,1,0.0,0,0,0,0,0,KKR,2015,DQ
16,KC Cariappa,1,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,KKR,2015,DQ
0,DA Miller,13,13,2,357,89*,32.45,266,134.21,0,2,0,21,21,KP,2015,DQ
1,GJ Bailey,13,13,2,259,61*,23.54,190,136.31,0,2,0,22,7,KP,2015,DQ
2,AR Patel,14,12,3,206,40*,22.88,174,118.39,0,0,1,13,8,KP,2015,DQ
3,M Vijay,11,11,0,251,39,22.81,228,110.08,0,0,1,27,8,KP,2015,DQ
4,SE Marsh,4,4,0,81,65,20.25,58,139.65,0,1,0,7,3,KP,2015,DQ
5,WP Saha,14,13,0,249,42,19.15,197,126.39,0,0,0,16,10,KP,2015,DQ
6,R Dhawan,5,5,3,36,25*,18.0,33,109.09,0,0,0,2,2,KP,2015,DQ
7,GJ Maxwell,11,11,0,145,43,13.18,112,129.46,0,0,0,13,8,KP,2015,DQ
8,V Sehwag,8,8,0,99,47,12.37,84,117.85,0,0,1,12,3,KP,2015,DQ
9,M Vohra,7,7,0,82,39,11.71,81,101.23,0,0,0,4,5,KP,2015,DQ
10,Karanveer Singh,4,3,2,11,5*,11.0,16,68.75,0,0,0,1,0,KP,2015,DQ
11,Sandeep Sharma,14,3,2,9,7,9.0,14,64.28,0,0,0,1,0,KP,2015,DQ
12,MG Johnson,9,8,4,31,13*,7.75,36,86.11,0,0,1,1,1,KP,2015,DQ
13,Gurkeerat Singh,5,5,0,35,15,7.0,39,89.74,0,0,0,3,1,KP,2015,DQ
14,Anureet Singh,14,6,3,18,10,6.0,31,58.06,0,0,2,0,1,KP,2015,DQ
15,NLTC Perera,2,2,0,12,9,6.0,15,80.0,0,0,0,0,1,KP,2015,DQ
16,SN Thakur,1,1,1,7,7*,0.0,6,116.66,0,0,0,1,0,KP,2015,DQ
17,BE Hendricks,4,2,2,1,1*,0.0,2,50.0,0,0,0,0,0,KP,2015,DQ
18,Shivam Sharma,1,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,KP,2015,DQ
0,J Suchith,13,6,5,48,34*,48.0,32,150.0,0,0,0,4,2,MI,2015,W
1,LMP Simmons,13,13,1,540,71,45.0,441,122.44,0,6,1,56,21,MI,2015,W
2,KA Pollard,16,14,3,419,70,38.09,256,163.67,0,2,0,28,28,MI,2015,W
3,CJ Anderson,4,4,1,114,55*,38.0,97,117.52,0,2,0,11,6,MI,2015,W
4,RG Sharma,16,16,2,482,98*,34.42,333,144.74,0,3,2,41,21,MI,2015,W
5,AT Rayudu,15,14,5,281,53*,31.22,193,145.59,0,1,2,18,16,MI,2015,W
6,PA Patel,14,14,1,339,59,26.07,246,137.8,0,2,2,47,5,MI,2015,W
7,HH Pandya,9,8,3,112,61*,22.4,62,180.64,0,1,2,9,8,MI,2015,W
8,UBT Chand,6,5,0,102,58,20.4,83,122.89,0,1,0,13,2,MI,2015,W
9,Harbhajan Singh,15,10,3,117,64,16.71,73,160.27,0,1,2,9,9,MI,2015,W
10,MJ McClenaghan,12,3,2,13,12*,13.0,6,216.66,0,0,1,0,2,MI,2015,W
11,AJ Finch,3,3,1,23,10*,11.5,33,69.69,0,0,0,4,0,MI,2015,W
12,AP Tare,2,2,0,14,7,7.0,17,82.35,0,0,0,1,0,MI,2015,W
13,R Vinay Kumar,13,3,2,0,0*,0.0,2,0.0,0,0,1,0,0,MI,2015,W
14,SL Malinga,15,1,1,6,6*,0.0,10,60.0,0,0,0,1,0,MI,2015,W
15,S Gopal,1,1,1,1,1*,0.0,1,100.0,0,0,0,0,0,MI,2015,W
16,JJ Bumrah,4,1,1,0,0*,0.0,0,0.0,0,0,0,0,0,MI,2015,W
17,M de Lange,1,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,MI,2015,W
18,PP Ojha,1,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,MI,2015,W
19,P Suyal,3,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,MI,2015,W
0,AB de Villiers,16,14,3,513,133*,46.63,293,175.08,1,2,1,60,22,RCB,2015,Q
1,V Kohli,16,16,5,505,82*,45.9,386,130.82,0,3,0,35,23,RCB,2015,Q
2,CH Gayle,14,14,2,491,117,40.91,333,147.44,1,2,0,39,38,RCB,2015,Q
3,D Wiese,14,7,3,122,47*,30.5,86,141.86,0,0,0,12,4,RCB,2015,Q
4,SN Khan,13,8,4,111,45*,27.75,71,156.33,0,0,0,12,2,RCB,2015,Q
5,Mandeep Singh,14,9,2,157,54*,22.42,100,157.0,0,1,2,17,6,RCB,2015,Q
6,MS Bisla,2,2,0,37,20,18.5,30,123.33,0,0,0,6,1,RCB,2015,Q
7,KD Karthik,16,11,0,141,28,12.81,117,120.51,0,0,0,15,4,RCB,2015,Q
8,MA Starc,13,3,2,11,9*,11.0,14,78.57,0,0,0,1,0,RCB,2015,Q
9,Iqbal Abdulla,5,2,0,20,20,10.0,18,111.11,0,0,1,4,0,RCB,2015,Q
10,AN Ahmed,3,3,2,10,5*,10.0,5,200.0,0,0,0,2,0,RCB,2015,Q
11,SA Abbott,2,2,0,15,14,7.5,13,115.38,0,0,0,1,1,RCB,2015,Q
12,RR Rossouw,2,2,0,14,14,7.0,10,140.0,0,0,1,1,1,RCB,2015,Q
13,DJG Sammy,2,2,0,13,7,6.5,18,72.22,0,0,0,0,0,RCB,2015,Q
14,VR Aaron,6,1,0,6,6,6.0,3,200.0,0,0,0,0,1,RCB,2015,Q
15,NJ Maddinson,1,1,0,4,4,4.0,7,57.14,0,0,0,1,0,RCB,2015,Q
16,HV Patel,15,7,2,19,9*,3.8,12,158.33,0,0,2,0,2,RCB,2015,Q
17,YS Chahal,15,2,2,1,1*,0.0,1,100.0,0,0,0,0,0,RCB,2015,Q
18,S Aravind,5,1,1,0,0*,0.0,1,0.0,0,0,0,0,0,RCB,2015,Q
19,AB Dinda,2,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,RCB,2015,Q
0,AM Rahane,14,13,2,540,91*,49.09,413,130.75,0,4,1,53,13,RR,2015,Q
1,SR Watson,10,9,1,347,104*,43.37,257,135.01,1,1,0,37,14,RR,2015,Q
2,CH Morris,11,7,5,76,34*,38.0,46,165.21,0,0,1,3,5,RR,2015,Q
3,SPD Smith,14,12,1,293,79*,26.63,221,132.57,0,2,1,33,3,RR,2015,Q
4,SV Samson,14,11,1,204,76,20.4,163,125.15,0,1,0,16,8,RR,2015,Q
5,STR Binny,13,8,4,74,20,18.5,66,112.12,0,0,1,7,1,RR,2015,Q
6,JP Faulkner,13,11,3,144,46,18.0,109,132.11,0,0,0,12,5,RR,2015,Q
7,DJ Hooda,14,9,0,151,54,16.77,95,158.94,0,1,0,6,11,RR,2015,Q
8,KK Nair,14,12,1,181,61,16.45,145,124.82,0,1,0,18,5,RR,2015,Q
9,TG Southee,7,3,2,13,7*,13.0,9,144.44,0,0,0,1,0,RR,2015,Q
10,Ankit Sharma,4,2,1,7,7*,7.0,6,116.66,0,0,1,1,0,RR,2015,Q
11,DS Kulkarni,11,2,0,4,3,2.0,11,36.36,0,0,0,0,0,RR,2015,Q
12,R Bhatia,2,1,0,0,0,0.0,1,0.0,0,0,1,0,0,RR,2015,Q
13,PV Tambe,10,2,2,3,2*,0.0,5,60.0,0,0,0,0,0,RR,2015,Q
14,J Theron,1,1,1,1,1*,0.0,1,100.0,0,0,0,0,0,RR,2015,Q
15,BB Sran,1,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,RR,2015,Q
16,R Tewatia,1,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,RR,2015,Q
0,DA Warner,14,14,1,562,91,43.23,359,156.54,0,7,0,65,21,SRH,2015,DQ
1,MC Henriques,9,9,2,287,74*,41.0,211,136.01,0,2,0,19,13,SRH,2015,DQ
2,KS Williamson,2,2,1,31,26*,31.0,27,114.81,0,0,0,1,1,SRH,2015,DQ
3,RS Bopara,9,8,3,145,41,29.0,120,120.83,0,0,1,6,6,SRH,2015,DQ
4,KL Rahul,9,8,3,142,44*,28.4,126,112.69,0,0,0,8,5,SRH,2015,DQ
5,S Dhawan,14,14,1,353,54,27.15,286,123.42,0,3,0,45,6,SRH,2015,DQ
6,A Ashish Reddy,6,5,2,73,22*,24.33,46,158.69,0,0,0,3,5,SRH,2015,DQ
7,EJG Morgan,9,9,1,187,63,23.37,151,123.84,0,1,0,11,11,SRH,2015,DQ
8,DW Steyn,6,3,2,20,19*,20.0,13,153.84,0,0,1,3,0,SRH,2015,DQ
9,KV Sharma,14,9,3,104,32,17.33,85,122.35,0,0,0,3,6,SRH,2015,DQ
10,B Kumar,14,3,2,17,11*,17.0,10,170.0,0,0,1,2,1,SRH,2015,DQ
11,NV Ojha,14,11,1,137,28,13.7,121,113.22,0,0,2,12,4,SRH,2015,DQ
12,GH Vihari,5,4,0,39,16,9.75,35,111.42,0,0,0,6,0,SRH,2015,DQ
13,P Kumar,12,4,1,17,12,5.66,25,68.0,0,0,1,1,0,SRH,2015,DQ
14,Bipul Sharma,4,1,0,1,1,1.0,2,50.0,0,0,0,0,0,SRH,2015,DQ
15,Parvez Rasool,2,1,1,2,2*,0.0,2,100.0,0,0,0,0,0,SRH,2015,DQ
16,TA Boult,7,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,SRH,2015,DQ
17,I Sharma,4,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,SRH,2015,DQ
0,CH Morris,12,7,4,195,82*,65.0,109,178.89,0,1,1,15,12,DD,2016,DQ
1,JP Duminy,10,8,3,191,49*,38.2,156,122.43,0,0,0,13,3,DD,2016,DQ
2,Q de Kock,13,13,1,445,108,37.08,327,136.08,1,3,0,52,13,DD,2016,DQ
3,KK Nair,14,12,2,357,83*,35.7,297,120.2,0,3,0,40,6,DD,2016,DQ
4,P Negi,8,6,4,57,19*,28.5,59,96.61,0,0,0,2,3,DD,2016,DQ
5,SV Samson,14,14,3,291,60,26.45,259,112.35,0,1,0,20,8,DD,2016,DQ
6,RR Pant,10,10,2,198,69,24.75,152,130.26,0,1,0,19,6,DD,2016,DQ
7,SW Billings,5,4,0,88,54,22.0,64,137.5,0,1,0,4,4,DD,2016,DQ
8,CR Brathwaite,8,6,0,83,34,13.83,38,218.42,0,0,0,6,8,DD,2016,DQ
9,MA Agarwal,3,3,0,27,10,9.0,25,108.0,0,0,0,3,1,DD,2016,DQ
10,SS Iyer,6,6,0,30,19,5.0,43,69.76,0,0,3,2,1,DD,2016,DQ
11,Imran Tahir,4,1,0,5,5,5.0,7,71.42,0,0,0,1,0,DD,2016,DQ
12,Z Khan,12,2,0,6,4,3.0,13,46.15,0,0,0,1,0,DD,2016,DQ
13,J Yadav,5,2,0,6,5,3.0,10,60.0,0,0,0,0,0,DD,2016,DQ
14,A Mishra,14,2,0,4,3,2.0,14,28.57,0,0,0,0,0,DD,2016,DQ
15,NM Coulter-Nile,4,2,2,9,7*,0.0,14,64.28,0,0,0,1,0,DD,2016,DQ
16,Mohammed Shami,8,2,2,2,2*,0.0,4,50.0,0,0,0,0,0,DD,2016,DQ
17,S Nadeem,4,1,1,1,1*,0.0,5,20.0,0,0,0,0,0,DD,2016,DQ
0,AJ Finch,13,12,2,393,74,39.3,299,131.43,0,5,2,45,11,GL,2016,Q
1,DR Smith,12,12,1,324,73,29.45,221,146.6,0,3,1,35,16,GL,2016,Q
2,SK Raina,15,15,1,399,75,28.5,312,127.88,0,3,0,39,10,GL,2016,Q
3,KD Karthik,16,15,2,335,53,25.76,266,125.93,0,3,1,38,3,GL,2016,Q
4,JP Faulkner,7,5,2,77,32,25.66,59,130.5,0,0,0,7,0,GL,2016,Q
5,BB McCullum,16,16,0,354,60,22.12,262,135.11,0,1,1,38,16,GL,2016,Q
6,RA Jadeja,15,15,6,191,36*,21.22,177,107.9,0,0,1,14,4,GL,2016,Q
7,DS Kulkarni,14,5,3,27,10,13.5,16,168.75,0,0,0,3,0,GL,2016,Q
8,DJ Bravo,15,13,5,99,22*,12.37,82,120.73,0,0,1,11,1,GL,2016,Q
9,ER Dwivedi,4,2,0,24,19,12.0,14,171.42,0,0,0,2,2,GL,2016,Q
10,Ishan Kishan,5,5,0,42,27,8.4,41,102.43,0,0,1,5,0,GL,2016,Q
11,AD Nath,4,3,0,20,12,6.66,27,74.07,0,0,0,1,0,GL,2016,Q
12,P Kumar,16,7,3,24,15,6.0,26,92.3,0,0,1,3,0,GL,2016,Q
13,DW Steyn,1,1,0,1,1,1.0,2,50.0,0,0,0,0,0,GL,2016,Q
14,S Kaushik,7,2,1,0,0*,0.0,1,0.0,0,0,1,0,0,GL,2016,Q
15,PV Tambe,7,1,1,7,7*,0.0,19,36.84,0,0,0,1,0,GL,2016,Q
16,SB Jakati,6,1,1,1,1*,0.0,2,50.0,0,0,0,0,0,GL,2016,Q
17,S Ladda,1,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,GL,2016,Q
18,PJ Sangwan,2,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,GL,2016,Q
0,YK Pathan,15,13,8,361,63*,72.2,248,145.56,0,3,0,33,13,KKR,2016,Q
1,G Gambhir,15,15,2,501,90*,38.53,411,121.89,0,5,1,54,6,KKR,2016,Q
2,MK Pandey,12,11,3,248,52,31.0,183,135.51,0,2,1,17,9,KKR,2016,Q
3,AD Russell,12,8,1,188,39*,26.85,114,164.91,0,0,0,10,15,KKR,2016,Q
4,RV Uthappa,15,15,0,394,72,26.26,289,136.33,0,3,1,45,8,KKR,2016,Q
5,SA Yadav,15,11,4,182,60,26.0,143,127.27,0,1,0,18,5,KKR,2016,Q
6,CA Lynn,2,2,1,25,15,25.0,22,113.63,0,0,0,0,1,KKR,2016,Q
7,Shakib Al Hasan,10,7,2,114,66*,22.8,106,107.54,0,1,0,7,5,KKR,2016,Q
8,C Munro,4,3,0,30,16,10.0,30,100.0,0,0,0,3,0,KKR,2016,Q
9,PP Chawla,12,3,0,27,11,9.0,26,103.84,0,0,0,4,0,KKR,2016,Q
10,UT Yadav,9,2,1,9,7*,9.0,5,180.0,0,0,0,0,1,KKR,2016,Q
11,R Sathish,4,3,0,24,10,8.0,24,100.0,0,0,0,1,1,KKR,2016,Q
12,SP Narine,11,4,3,7,4,7.0,13,53.84,0,0,0,0,0,KKR,2016,Q
13,JO Holder,4,4,0,22,13,5.5,19,115.78,0,0,1,2,1,KKR,2016,Q
14,M Morkel,10,2,2,1,1*,0.0,1,100.0,0,0,0,0,0,KKR,2016,Q
